transport,direction,workload,run,ms,status
blit,push,large,1,955,0
rsyncd,push,large,1,7232,0
rsync_ssh,push,large,1,2251,0
rclone_sftp,push,large,1,3128,0
blit,pull,large,1,890,0
rsyncd,pull,large,1,1029,0
rsync_ssh,pull,large,1,2200,0
rclone_sftp,pull,large,1,2851,0
blit,push,large,2,949,0
rsyncd,push,large,2,1010,0
rsync_ssh,push,large,2,2213,0
rclone_sftp,push,large,2,3088,0
blit,pull,large,2,884,0
rsyncd,pull,large,2,1036,0
rsync_ssh,pull,large,2,1861,0
rclone_sftp,pull,large,2,2884,0
blit,push,small,1,2373,0
rsyncd,push,small,1,1493,0
rsync_ssh,push,small,1,1641,0
rclone_sftp,push,small,1,5848,0
blit,pull,small,1,484,0
rsyncd,pull,small,1,367,0
rsync_ssh,pull,small,1,435,0
rclone_sftp,pull,small,1,5022,0
blit,push,small,2,3313,0
rsyncd,push,small,2,1513,0
rsync_ssh,push,small,2,1624,0
rclone_sftp,push,small,2,6012,0
blit,pull,small,2,446,0
rsyncd,pull,small,2,374,0
rsync_ssh,pull,small,2,425,0
rclone_sftp,pull,small,2,5010,0
blit,push,mixed,1,1829,0
rsyncd,push,mixed,1,1248,0
rsync_ssh,push,mixed,1,1966,0
rclone_sftp,push,mixed,1,3883,0
blit,pull,mixed,1,577,0
rsyncd,pull,mixed,1,686,0
rsync_ssh,pull,mixed,1,1311,0
rclone_sftp,pull,mixed,1,3863,0
blit,push,mixed,2,2222,0
rsyncd,push,mixed,2,1239,0
rsync_ssh,push,mixed,2,1978,0
rclone_sftp,push,mixed,2,3966,0
blit,pull,mixed,2,586,0
rsyncd,pull,mixed,2,693,0
rsync_ssh,pull,mixed,2,1290,0
rclone_sftp,pull,mixed,2,3946,0
blit,local,large,1,173,0
rsync,local,large,1,332,0
rclone,local,large,1,1011,0
blit,local,small,1,79,0
rsync,local,small,1,87,0
rclone,local,small,1,199,0
blit,local,mixed,1,119,0
rsync,local,mixed,1,248,0
rclone,local,mixed,1,557,0
