cell,pair,initiator,run_id,session_id,source_endpoint,destination_endpoint,client_endpoint,duration_ms,throughput_mib_s,floor_streams,peak_streams,final_streams,receiver_ceiling,accepted_adds,accepted_removes,sample_count,sample_observation,operations,reason_counts,reason_sequence,source_complete_elapsed_ns,destination_complete_elapsed_ns,client_complete_elapsed_ns,review_reasons,arm_verdict,source_path,active_destination_path,archive_path,landed_manifest,landed_manifest_sha256,source_trace,destination_trace
q_to_windows_large,1,source_init,ldt4-001,3c6b78bf890a62b4,q,netwatch-01,q,880,1163.636,4,4,4,32,0,0,0,no-sample,[],{},[],869019416,871717000,869019416,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-001,manifests/landed/ldt4-001.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-001/client.err,endpoint/windows/ldt4-001/daemon.err
q_to_windows_large,1,destination_init,ldt4-002,3d01ef392695e99c,q,netwatch-01,netwatch-01,1040,984.615,4,4,4,32,0,0,0,no-sample,[],{},[],873711875,1016900700,1016900700,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-002,manifests/landed/ldt4-002.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-002/daemon.err,endpoint/windows/ldt4-002/client.err
q_to_windows_large,2,destination_init,ldt4-003,e4580f5da727588f,q,netwatch-01,netwatch-01,1052,973.384,4,4,4,32,0,0,0,no-sample,[],{},[],870043375,1031807800,1031807800,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-003,manifests/landed/ldt4-003.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-003/daemon.err,endpoint/windows/ldt4-003/client.err
q_to_windows_large,2,source_init,ldt4-004,a52ed404d44f9a06,q,netwatch-01,q,878,1166.287,4,4,4,32,0,0,0,no-sample,[],{},[],869169166,871740200,869169166,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-004,manifests/landed/ldt4-004.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-004/client.err,endpoint/windows/ldt4-004/daemon.err
q_to_windows_large,3,destination_init,ldt4-005,f5fa2cdc89e448ad,q,netwatch-01,netwatch-01,1048,977.099,4,4,4,32,0,0,0,no-sample,[],{},[],873252667,1027716600,1027716600,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-005,manifests/landed/ldt4-005.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-005/daemon.err,endpoint/windows/ldt4-005/client.err
q_to_windows_large,3,source_init,ldt4-006,5758b280860a3072,q,netwatch-01,q,877,1167.617,4,4,4,32,0,0,0,no-sample,[],{},[],867057750,870967400,867057750,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-006,manifests/landed/ldt4-006.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-006/client.err,endpoint/windows/ldt4-006/daemon.err
q_to_windows_large,4,source_init,ldt4-007,e08ebc920ba25360,q,netwatch-01,q,878,1166.287,4,4,4,32,0,0,0,no-sample,[],{},[],868816292,871411500,868816292,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-007,manifests/landed/ldt4-007.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-007/client.err,endpoint/windows/ldt4-007/daemon.err
q_to_windows_large,4,destination_init,ldt4-008,944401679e522f4e,q,netwatch-01,netwatch-01,1086,942.91,4,4,4,32,0,0,0,no-sample,[],{},[],871465333,1065221200,1065221200,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-008,manifests/landed/ldt4-008.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-008/daemon.err,endpoint/windows/ldt4-008/client.err
q_to_windows_large,5,source_init,ldt4-009,554c41e308da2137,q,netwatch-01,q,878,1166.287,4,4,4,32,0,0,0,no-sample,[],{},[],868736417,871210800,868736417,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-009,manifests/landed/ldt4-009.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-009/client.err,endpoint/windows/ldt4-009/daemon.err
q_to_windows_large,5,destination_init,ldt4-010,732f7ec6d55af6e1,q,netwatch-01,netwatch-01,1092,937.729,4,4,4,32,0,0,0,no-sample,[],{},[],872078625,1071312500,1071312500,[],STRUCTURALLY_VALID,/Users/michael/blit-ldt4-staging/fixtures/src_large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/active/large,D:/blit-test/ldt4-sessions/ldt4-20260721T224319Z-96a4e3b03caf/retained/ldt4-010,manifests/landed/ldt4-010.csv,6ded420382e363fb191497f83869f04fa5c2c05f23f8c638a4a47f434dacf788,endpoint/q/ldt4-010/daemon.err,endpoint/windows/ldt4-010/client.err
