cell,pair,initiator,run_id,producer_seq,elapsed_ns,reason,epoch,live_streams,peak_streams,receiver_ceiling,sample_bytes,sample_blocked_ns,sample_elapsed_ns,sample_streams,sample_valid,blocked_ratio,chunk_bytes,prefetch_count,tcp_buffer_bytes,action,target_streams
windows_to_q_small,1,source_init,ldt4-033,271,502687500,cheap-up,0,4,4,32,39466496,2944900,500721900,4,true,0.0014703271416728527,33554432,6,8388608,,
windows_to_q_small,2,source_init,ldt4-036,255,502554200,cheap-up,0,4,4,32,38422528,2667300,500588300,4,true,0.0013320826715286793,33554432,6,8388608,,
windows_to_q_small,3,source_init,ldt4-038,256,502621700,cheap-up,0,4,4,32,37996032,2800300,500698000,4,true,0.0013981981154308585,33554432,6,8388608,,
windows_to_q_small,4,source_init,ldt4-039,254,505454500,cheap-up,0,4,4,32,38424576,2811800,503525800,4,true,0.0013960555745107799,33554432,6,8388608,,
windows_to_q_small,5,source_init,ldt4-041,254,503245700,cheap-up,0,4,4,32,39603200,3145300,501191800,4,true,0.0015689103453009406,33554432,6,8388608,,
windows_to_q_small,6,source_init,ldt4-044,250,504734700,cheap-up,0,4,4,32,38422528,2968300,502648900,4,true,0.0014763287057825054,33554432,6,8388608,,
windows_to_q_small,7,source_init,ldt4-046,252,516286300,cheap-up,0,4,4,32,38423552,2899500,514301500,4,true,0.0014094359048145884,33554432,6,8388608,,
windows_to_q_small,8,source_init,ldt4-047,255,503379800,cheap-up,0,4,4,32,39014400,2796000,501357300,4,true,0.0013942152632463913,33554432,6,8388608,,
q_to_windows_small,1,destination_init,ldt4-050,159,503096917,hysteresis,0,4,4,32,27742208,164353458,500737417,4,true,0.08205571044833664,16777216,4,0,,
q_to_windows_small,2,destination_init,ldt4-051,155,503292625,cheap-up,0,4,4,32,27743232,18647167,500891125,4,true,0.009306996106189744,33554432,6,8388608,,
q_to_windows_small,2,source_init,ldt4-052,250,501487084,cooldown,0,4,4,32,27792896,810435040,500320959,4,true,0.40495757044629427,16777216,4,0,,
q_to_windows_small,3,destination_init,ldt4-053,167,503609875,hysteresis,0,4,4,32,32470016,266291083,501174959,4,true,0.1328333939166342,16777216,4,0,,
q_to_windows_small,3,source_init,ldt4-054,283,502500208,hysteresis,0,4,4,32,32503808,594214205,501231709,4,true,0.29637700205834344,16777216,4,0,,
q_to_windows_small,4,source_init,ldt4-055,189,502608500,cheap-up,0,4,4,32,30992896,16001086,501366875,4,true,0.007978731143735813,33554432,6,8388608,,
q_to_windows_small,4,destination_init,ldt4-056,149,503397875,hysteresis,0,4,4,32,32470016,254793630,500995292,4,true,0.12714372473584043,16777216,4,0,,
q_to_windows_small,5,source_init,ldt4-057,284,502728833,hysteresis,0,4,4,32,30131200,531617504,501556750,4,true,0.26498372517167795,16777216,4,0,,
q_to_windows_small,5,destination_init,ldt4-058,140,502724166,hysteresis,0,4,4,32,30697472,270191122,500280125,4,true,0.13501991609200945,16777216,4,0,,
q_to_windows_small,6,source_init,ldt4-060,300,502693541,cooldown,0,4,4,32,32815616,602968705,501455167,4,true,0.3006094785139586,16777216,4,0,,
q_to_windows_small,7,destination_init,ldt4-061,152,502469709,hysteresis,0,4,4,32,33651712,263495125,500163708,4,true,0.13170444035895543,16777216,4,0,,
q_to_windows_small,7,source_init,ldt4-062,227,502256500,cheap-up,0,4,4,32,31223808,14428502,500993084,4,true,0.007199950688341238,33554432,6,8388608,,
q_to_windows_small,8,source_init,ldt4-063,288,501646333,cooldown,0,4,4,32,29490688,630974962,500351209,4,true,0.3152660324640087,16777216,4,0,,
q_to_windows_small,8,destination_init,ldt4-064,144,504308583,cheap-up,0,4,4,32,35418112,77262000,501869042,4,true,0.03848713186815775,33554432,6,8388608,,
