cell,pair,source_init_ms,destination_init_ms,destination_minus_source_ms,slower_faster_ratio,source_peak,destination_peak,source_final,destination_final,source_adds,destination_adds,source_removes,destination_removes,source_operations,destination_operations,source_reasons,destination_reasons,source_reason_sequence,destination_reason_sequence,decision_differences,decision_verdict
q_to_windows_large,1,880,1040,160,1.181818181818181818181818182,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_large,2,878,1052,174,1.198177676537585421412300683,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_large,3,877,1048,171,1.194982896237172177879133409,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_large,4,878,1086,208,1.236902050113895216400911162,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_large,5,878,1092,214,1.243735763097949886104783599,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_large,6,877,1056,179,1.204104903078677309007981756,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_large,7,878,1050,172,1.195899772209567198177676538,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_large,8,1081,895,-186,1.207821229050279329608938547,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_large,1,894,878,-16,1.018223234624145785876993166,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_large,2,920,879,-41,1.046643913538111490329920364,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_large,3,895,878,-17,1.019362186788154897494305239,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_large,4,894,879,-15,1.017064846416382252559726962,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_large,5,914,878,-36,1.041002277904328018223234624,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_large,6,895,902,7,1.007821229050279329608938547,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_large,7,895,880,-15,1.017045454545454545454545455,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_large,8,949,879,-70,1.079635949943117178612059158,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
windows_to_q_small,1,660,651,-9,1.013824884792626728110599078,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}",{},"[""cheap-up""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
windows_to_q_small,2,644,649,5,1.007763975155279503105590062,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}",{},"[""cheap-up""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
windows_to_q_small,3,635,639,4,1.006299212598425196850393701,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}",{},"[""cheap-up""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
windows_to_q_small,4,642,634,-8,1.012618296529968454258675079,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}",{},"[""cheap-up""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
windows_to_q_small,5,692,646,-46,1.071207430340557275541795666,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}",{},"[""cheap-up""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
windows_to_q_small,6,659,636,-23,1.036163522012578616352201258,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}",{},"[""cheap-up""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
windows_to_q_small,7,653,633,-20,1.031595576619273301737756714,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}",{},"[""cheap-up""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
windows_to_q_small,8,642,644,2,1.003115264797507788161993769,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}",{},"[""cheap-up""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
q_to_windows_small,1,1059,1055,-4,1.003791469194312796208530806,4,4,4,4,0,0,0,0,[],[],{},"{""hysteresis"":1}",[],"[""hysteresis""]",reason_distribution;reason_sequence,REVIEW_REQUIRED
q_to_windows_small,2,1006,1080,74,1.073558648111332007952286282,4,4,4,4,0,0,0,0,[],[],"{""cooldown"":1}","{""cheap-up"":1}","[""cooldown""]","[""cheap-up""]",reason_distribution;reason_sequence,REVIEW_REQUIRED
q_to_windows_small,3,1032,1039,7,1.006782945736434108527131783,4,4,4,4,0,0,0,0,[],[],"{""hysteresis"":1}","{""hysteresis"":1}","[""hysteresis""]","[""hysteresis""]",,MATCH
q_to_windows_small,4,947,950,3,1.003167898627243928194297782,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}","{""hysteresis"":1}","[""cheap-up""]","[""hysteresis""]",reason_distribution;reason_sequence,REVIEW_REQUIRED
q_to_windows_small,5,938,944,6,1.006396588486140724946695096,4,4,4,4,0,0,0,0,[],[],"{""hysteresis"":1}","{""hysteresis"":1}","[""hysteresis""]","[""hysteresis""]",,MATCH
q_to_windows_small,6,919,1072,153,1.166485310119695321001088139,4,4,4,4,0,0,0,0,[],[],"{""cooldown"":1}",{},"[""cooldown""]",[],reason_distribution;reason_sequence,REVIEW_REQUIRED
q_to_windows_small,7,944,964,20,1.021186440677966101694915254,4,4,4,4,0,0,0,0,[],[],"{""cheap-up"":1}","{""hysteresis"":1}","[""cheap-up""]","[""hysteresis""]",reason_distribution;reason_sequence,REVIEW_REQUIRED
q_to_windows_small,8,930,991,61,1.065591397849462365591397849,4,4,4,4,0,0,0,0,[],[],"{""cooldown"":1}","{""cheap-up"":1}","[""cooldown""]","[""cheap-up""]",reason_distribution;reason_sequence,REVIEW_REQUIRED
q_to_windows_mixed,1,732,591,-141,1.238578680203045685279187817,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_mixed,2,691,590,-101,1.171186440677966101694915254,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_mixed,3,693,807,114,1.164502164502164502164502165,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_mixed,4,791,816,25,1.031605562579013906447534766,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_mixed,5,692,811,119,1.17196531791907514450867052,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_mixed,6,698,814,116,1.166189111747851002865329513,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
q_to_windows_mixed,7,757,626,-131,1.209265175718849840255591054,4,4,4,4,0,0,0,0,[],[],{},{},[],[],,MATCH
