sequence,cell,pair,q_free_bytes,windows_free_bytes,q_quiet,windows_quiet
001,q_to_windows_large,1,80151244800,2501306822656,q_load1=2.66;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=1.33
003,q_to_windows_large,2,80153595904,2499159306240,q_load1=2.20;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.33
005,q_to_windows_large,3,80156061696,2497011785728,q_load1=2.02;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2
007,q_to_windows_large,4,80153587712,2494864269312,q_load1=1.92;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.67
009,q_to_windows_large,5,80153333760,2492716744704,q_load1=1.83;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
011,q_to_windows_large,6,80151232512,2490569228288,q_load1=1.72;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.33
013,q_to_windows_large,7,80149221376,2488421711872,q_load1=1.41;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.33
015,q_to_windows_large,8,80147521536,2486274195456,q_load1=1.65;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
017,windows_to_q_large,1,80147324928,2484126679040,q_load1=1.61;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4
019,windows_to_q_large,2,77999566848,2484126646272,q_load1=1.58;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=2.67
021,windows_to_q_large,3,75850514432,2484126613504,q_load1=1.69;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=3.67
023,windows_to_q_large,4,73701683200,2484126580736,q_load1=1.77;q_spotlight_cpu=0.0;time_machine_auto=0;time_machine_running=0,windows_cpu_avg=4.33
