cell,pair,initiator,run_id,producer_seq,elapsed_ns,reason,epoch,live_streams,peak_streams,receiver_ceiling,sample_bytes,sample_blocked_ns,sample_elapsed_ns,sample_streams,sample_valid,blocked_ratio,chunk_bytes,prefetch_count,tcp_buffer_bytes,action,target_streams
q_to_windows_horizon,1,source_init,ldt4-001,27,502881458,cooldown,0,4,4,32,610271232,1950822719,500798292,4,true,0.9738565157686281,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,28,1005923708,cooldown,0,4,4,32,595591168,1922730464,503042250,4,true,0.955551180840178,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,29,1509443542,cooldown,0,4,4,32,213909504,1592020787,503519791,4,true,0.7904459841778096,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,30,2009883875,idle,0,4,4,32,0,0,500440166,4,true,0.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,31,2510845667,sustain,0,4,4,32,620756992,4516706340,500962500,4,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,32,3011815167,remove,1,4,4,32,622854144,2004799746,500969084,4,true,1.0,16777216,4,0,REMOVE,3
q_to_windows_horizon,1,source_init,ldt4-001,40,3514820125,rebaseline,1,3,4,32,0,0,503005792,3,false,0.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,41,4015844500,cooldown,1,3,4,32,484442112,1417849658,501024083,3,true,0.9433010681577689,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,42,4516887583,cooldown,1,3,4,32,614465536,1516663502,501042875,3,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,43,5020608583,remove,2,3,4,32,318767104,1432841911,503720167,3,true,0.9481732152553133,16777216,4,0,REMOVE,2
q_to_windows_horizon,1,source_init,ldt4-001,51,5522587542,rebaseline,2,2,4,32,0,0,501978084,2,false,0.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,52,6022887167,cooldown,2,2,4,32,301989888,939065335,500301250,2,true,0.9384998888169878,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,53,6523857000,cooldown,2,2,4,32,180355072,1043165082,500969167,2,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,54,7024849917,remove,3,2,4,32,463470592,965131873,500993584,2,true,0.9632177974159446,16777216,4,0,REMOVE,1
q_to_windows_horizon,1,source_init,ldt4-001,62,7527817167,rebaseline,3,1,4,32,0,0,502963500,1,false,0.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,63,8028833208,cooldown,3,1,4,32,532676608,423319753,501019833,1,true,0.8449161592371534,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,64,8529899958,cooldown,3,1,4,32,417333248,439545249,501065208,1,true,0.87722165095925,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,65,9030880833,bound,3,1,4,32,566231040,411789921,500982125,1,true,0.8219652966660238,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,66,9534390875,sustain,3,1,4,32,465567744,341576623,503508958,1,true,0.6783923455042085,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,67,10034871083,bound,3,1,4,32,459276288,509232880,500481125,1,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,68,10535864000,sustain,3,1,4,32,568328192,415334959,500992875,1,true,0.829023684219062,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,69,11039507833,bound,3,1,4,32,408944640,369979492,503643375,1,true,0.7346060930514573,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,70,11542484458,sustain,3,1,4,32,6291456,531357500,502975459,1,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,71,12042820833,bound,3,1,4,32,171966464,502741580,500336500,1,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,72,12545855208,sustain,3,1,4,32,532676608,389350828,503034500,1,true,0.774004224362345,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,73,13046833625,bound,3,1,4,32,404750336,460990507,500979709,1,true,0.9201780006622983,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,74,13547817750,sustain,3,1,4,32,570425344,416987744,500984042,1,true,0.8323373781235132,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,75,14048875458,bound,3,1,4,32,572522496,418571163,501057416,1,true,0.8353756468500209,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,76,14549851167,sustain,3,1,4,32,566231040,411598963,500975125,1,true,0.8215956091632294,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,77,15050895500,bound,3,1,4,32,572522496,418524501,501044750,1,true,0.8353036350545535,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,78,15551863125,sustain,3,1,4,32,572522496,418721880,500966708,1,true,0.8358277572409063,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,79,16052841875,bound,3,1,4,32,566231040,411981961,500979416,1,true,0.8223530704902254,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,80,16554089000,sustain,3,1,4,32,257949696,188094465,501245292,1,true,0.37525432757580895,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,81,17054858250,bound,3,1,4,32,41943040,754018125,500769125,1,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,82,17555847708,sustain,3,1,4,32,184549376,457445293,500989417,1,true,0.9130837448408616,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,83,18056798208,bound,3,1,4,32,559939584,404831453,500952625,1,true,0.8081232292175333,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,84,18560532333,sustain,3,1,4,32,499122176,364637745,503733000,1,true,0.7238710686018188,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,85,19060851250,bound,3,1,4,32,415236096,486068209,500319709,1,true,0.9715152136850959,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,86,19561874000,sustain,3,1,4,32,566231040,412397034,501022750,1,true,0.823110395685625,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,87,20062870250,bound,3,1,4,32,411041792,441815254,500996125,1,true,0.8818735953297044,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,88,20563859042,sustain,3,1,4,32,568328192,413336872,500988750,1,true,0.8250422230040095,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,89,21065483958,bound,3,1,4,32,358612992,435842328,501624959,1,true,0.8688609292266097,16777216,4,0,,
q_to_windows_horizon,1,source_init,ldt4-001,90,21565903667,sustain,3,1,4,32,572522496,418161996,500419667,1,true,0.8356226255192324,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,27,504007792,cooldown,0,4,4,32,606076928,1894428825,500686000,4,true,0.9459166149043512,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,28,1005072917,cooldown,0,4,4,32,622854144,1981030532,501066458,4,true,0.9884070767315261,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,29,1506007709,cooldown,0,4,4,32,620756992,1986371197,500933583,4,true,0.9913346122174445,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,30,2006954834,remove,1,4,4,32,620756992,1991402121,500948541,4,true,0.9938157106040958,16777216,4,0,REMOVE,3
q_to_windows_horizon,1,destination_init,ldt4-002,38,2510000959,rebaseline,1,3,4,32,0,0,503045875,3,false,0.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,39,3011435792,cooldown,1,3,4,32,322961408,1040102291,501433375,3,true,0.6914194007661869,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,40,3514041875,cooldown,1,3,4,32,230686720,1686750910,502606500,3,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,41,4017515500,remove,2,3,4,32,121634816,1397053624,503471334,3,true,0.9249474793997573,16777216,4,0,REMOVE,2
q_to_windows_horizon,1,destination_init,ldt4-002,49,4521698042,rebaseline,2,2,4,32,0,0,504183333,2,false,0.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,50,5024177084,cooldown,2,2,4,32,58720256,1047207168,502478708,2,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,51,5524954292,cooldown,2,2,4,32,385875968,1221434296,500779458,2,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,52,6025987167,remove,3,2,4,32,620756992,947870162,501032500,2,true,0.9459168437177229,16777216,4,0,REMOVE,1
q_to_windows_horizon,1,destination_init,ldt4-002,60,6528044334,rebaseline,3,1,4,32,0,0,502057375,1,false,0.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,61,7031825584,cooldown,3,1,4,32,251658240,386002081,503779792,1,true,0.7662119186392454,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,62,7531982542,cooldown,3,1,4,32,497025024,521369208,500158209,1,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,63,8033042542,bound,3,1,4,32,570425344,417110330,501059834,1,true,0.8324561293811469,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,64,8534032917,sustain,3,1,4,32,562036736,412417677,500990375,1,true,0.8232047911100089,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,65,9037115125,bound,3,1,4,32,507510784,372148433,503080667,1,true,0.7397390864157378,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,66,9538229417,sustain,3,1,4,32,10485760,508698709,501114250,1,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,67,10039041084,bound,3,1,4,32,448790528,461498747,500813167,1,true,0.9214988291232367,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,68,10539975334,sustain,3,1,4,32,497025024,425045536,500933583,1,true,0.8485067690101344,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,69,11041009792,bound,3,1,4,32,425721856,438167078,501034583,1,true,0.8745246193913924,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,70,11542042459,sustain,3,1,4,32,566231040,411546260,501033166,1,true,0.8213952447211847,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,71,12043036709,bound,3,1,4,32,436207616,435909509,500993834,1,true,0.8700895688069487,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,72,12543968250,sustain,3,1,4,32,570425344,416704496,500931416,1,true,0.8318593777316614,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,73,13044977667,bound,3,1,4,32,572522496,418119213,501009542,1,true,0.83455339259786,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,74,13546020375,sustain,3,1,4,32,568328192,413296077,501042500,1,true,0.8248722952643738,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,75,14047058584,bound,3,1,4,32,381681664,439591839,501038542,1,true,0.8773613248299769,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,76,14547965667,sustain,3,1,4,32,566231040,411466406,500907041,1,true,0.8214426476788135,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,77,15048968167,bound,3,1,4,32,572522496,418199544,501002459,1,true,0.8347255317563221,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,78,15550097834,sustain,3,1,4,32,564133888,416119759,501129625,1,true,0.830363519219204,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,79,16053089625,hysteresis,3,1,4,32,125829120,91557418,502990125,1,true,0.18202627337862745,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,80,16556028750,sustain,3,1,4,32,29360128,754594416,502938125,1,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,81,17056991709,bound,3,1,4,32,18874368,576027166,500962833,1,true,1.0,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,82,17558053917,sustain,3,1,4,32,415236096,481495292,501064333,1,true,0.9609450529379429,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,83,18058972375,bound,3,1,4,32,564133888,412334756,500919167,1,true,0.8231562758308268,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,84,18559995292,sustain,3,1,4,32,421527552,439696043,501022625,1,true,0.8775971803668547,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,85,19061045250,bound,3,1,4,32,568328192,415370560,501049792,1,true,0.8290005636805055,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,86,19561972542,sustain,3,1,4,32,436207616,435809575,500927250,1,true,0.8700057243841296,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,87,20063033959,bound,3,1,4,32,566231040,414794020,501061625,1,true,0.8278303492110377,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,88,20563958750,sustain,3,1,4,32,570425344,416526670,500924541,1,true,0.8315157991031628,16777216,4,0,,
q_to_windows_horizon,1,destination_init,ldt4-002,89,21065014917,bound,3,1,4,32,570425344,415197095,501056292,1,true,0.8286436107661931,16777216,4,0,,
windows_to_q_horizon,1,destination_init,ldt4-003,27,503059300,hysteresis,0,4,4,32,459276288,117842500,500861400,4,true,0.05881991505035126,16777216,4,0,,
windows_to_q_horizon,1,destination_init,ldt4-003,28,1004032600,cheap-up,0,4,4,32,478150656,86463500,500976200,4,true,0.043147508803811435,33554432,6,8388608,,
windows_to_q_horizon,1,destination_init,ldt4-003,29,1505543900,hysteresis,0,4,4,32,471859200,101722200,501511600,4,true,0.05070780017850036,33554432,6,8388608,,
windows_to_q_horizon,1,destination_init,ldt4-003,30,2008101800,hysteresis,0,4,4,32,478150656,111867000,502556600,4,true,0.05564895575941098,33554432,6,8388608,,
windows_to_q_horizon,1,destination_init,ldt4-003,31,2508659500,cheap-up,0,4,4,32,476053504,79542900,500559900,4,true,0.03972696374599723,67108864,9,8388608,,
windows_to_q_horizon,1,destination_init,ldt4-003,32,3010526400,cheap-up,0,4,4,32,476053504,90664000,501864300,4,true,0.04516360298989189,67108864,13,8388608,,
