cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
wm_tcp_large,mac_init,f35702a,mac,1,932,0,0,drained_10s,yes
wm_tcp_large,win_init,f35702a,win,1,914,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,2,908,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,2,906,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,3,909,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,3,904,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,4,907,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,4,906,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,5,907,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,5,921,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,6,910,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,6,907,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,7,908,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,7,910,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,8,933,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,8,909,0,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,1,1758,670,0,drained_6s,yes
mw_tcp_mixed,win_init,f35702a,win,1,1632,667,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,2,1762,671,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,2,1768,669,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,3,1676,663,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,3,1846,654,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,4,1756,658,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,4,1585,663,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,5,1592,666,0,drained_6s,yes
mw_tcp_mixed,win_init,f35702a,win,5,1650,674,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,6,1679,669,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,6,1630,668,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,7,1739,653,0,drained_6s,yes
mw_tcp_mixed,win_init,f35702a,win,7,1708,672,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,8,1682,666,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,8,1629,660,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,1,1077,63,0,drained_6s,yes
wm_tcp_mixed,win_init,f35702a,win,1,715,73,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,2,1034,70,0,drained_6s,yes
wm_tcp_mixed,win_init,f35702a,win,2,750,70,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,3,1030,70,0,drained_6s,yes
wm_tcp_mixed,win_init,f35702a,win,3,699,64,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,4,1036,69,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,4,753,73,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,5,1092,73,0,drained_6s,yes
wm_tcp_mixed,win_init,f35702a,win,5,767,70,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,6,1021,64,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,6,844,62,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,7,1020,64,0,drained_6s,yes
wm_tcp_mixed,win_init,f35702a,win,7,776,67,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,8,1049,71,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,8,843,63,0,drained_6s,yes
wm_grpc_mixed,mac_init,f35702a,mac,1,1114,71,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,1,1143,71,0,drained_6s,yes
wm_grpc_mixed,mac_init,f35702a,mac,2,1210,71,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,2,1150,71,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,3,1198,63,0,drained_6s,yes
wm_grpc_mixed,win_init,f35702a,win,3,1118,63,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,4,1118,63,0,drained_6s,yes
wm_grpc_mixed,win_init,f35702a,win,4,1099,62,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,5,1125,63,0,drained_6s,yes
wm_grpc_mixed,win_init,f35702a,win,5,1107,60,0,drained_6s,yes
wm_grpc_mixed,mac_init,f35702a,mac,6,1112,73,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,6,1124,72,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,7,1118,73,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,7,1169,72,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,8,1165,73,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,8,1133,73,0,drained_8s,yes
