comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
mw_tcp_mixed,invariance,mac_init,win_init,1667,1632,1.021,1.10,PASS
mw_tcp_mixed,converge,mac_init,old_session,1667,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,mac_init,old_committed,1667,2288,0.729,1.10,PASS
mw_tcp_mixed,converge,win_init,old_session,1632,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,win_init,old_committed,1632,2288,0.713,1.10,PASS
mw_tcp_mixed,cross,worst_arm,min_old_committed,1667,1284,1.298,1.10,FAIL
wm_grpc_mixed,invariance,mac_init,win_init,1145,1123,1.020,1.10,PASS
wm_grpc_mixed,converge,mac_init,old_session,1145,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,mac_init,old_committed,1145,1408,0.813,1.10,PASS
wm_grpc_mixed,converge,win_init,old_session,1123,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,win_init,old_committed,1123,1408,0.798,1.10,PASS
wm_grpc_mixed,cross,worst_arm,min_old_committed,1145,1408,0.813,1.10,PASS
wm_tcp_large,invariance,mac_init,win_init,940,924,1.017,1.10,PASS
wm_tcp_large,converge,mac_init,old_session,940,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,mac_init,old_committed,940,1294,0.726,1.10,PASS
wm_tcp_large,converge,win_init,old_session,924,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,win_init,old_committed,924,1294,0.714,1.10,PASS
wm_tcp_large,cross,worst_arm,min_old_committed,940,1294,0.726,1.10,PASS
wm_tcp_mixed,invariance,mac_init,win_init,1029,832,1.237,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_session,1029,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,mac_init,old_committed,1029,1284,0.801,1.10,PASS
wm_tcp_mixed,converge,win_init,old_session,832,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,win_init,old_committed,832,1284,0.648,1.10,PASS
wm_tcp_mixed,cross,worst_arm,min_old_committed,1029,1284,0.801,1.10,PASS
