cell,arm,build,initiator,run,ms,flush_ms,exit,drain,cold,valid
sm_tcp_mixed,srcinit,f35702a,skippy,1,1750,760,0,drained_3x2s,cold,yes
sm_tcp_mixed,destinit,f35702a,magneto,1,1890,780,0,drained_3x2s,cold,yes
sm_tcp_mixed,srcinit,f35702a,skippy,2,1750,800,0,drained_3x2s,cold,yes
sm_tcp_mixed,destinit,f35702a,magneto,2,1840,780,0,drained_3x2s,cold,yes
sm_tcp_mixed,srcinit,f35702a,skippy,3,1710,750,0,drained_3x2s,cold,yes
sm_tcp_mixed,destinit,f35702a,magneto,3,1920,760,0,drained_3x2s,cold,yes
sm_tcp_mixed,srcinit,f35702a,skippy,4,1741,810,0,drained_3x2s,cold,yes
sm_tcp_mixed,destinit,f35702a,magneto,4,2040,820,0,drained_3x2s,cold,yes
ms_tcp_mixed,srcinit,f35702a,magneto,1,2070,590,0,drained_4x2s,cold,yes
ms_tcp_mixed,destinit,f35702a,skippy,1,2120,480,0,drained_6x2s,cold,yes
ms_tcp_mixed,srcinit,f35702a,magneto,2,1991,451,0,drained_6x2s,cold,yes
ms_tcp_mixed,destinit,f35702a,skippy,2,2039,510,0,drained_4x2s,cold,yes
ms_tcp_mixed,srcinit,f35702a,magneto,3,2511,771,0,drained_4x2s,cold,yes
ms_tcp_mixed,destinit,f35702a,skippy,3,1959,489,0,drained_6x2s,cold,yes
ms_tcp_mixed,srcinit,f35702a,magneto,4,2101,551,0,drained_6x2s,cold,yes
ms_tcp_mixed,destinit,f35702a,skippy,4,2190,630,0,drained_4x2s,cold,yes
sm_grpc_mixed,srcinit,f35702a,skippy,1,2380,780,0,drained_3x2s,cold,yes
sm_grpc_mixed,destinit,f35702a,magneto,1,2340,780,0,drained_3x2s,cold,yes
sm_grpc_mixed,srcinit,f35702a,skippy,2,2400,760,0,drained_3x2s,cold,yes
sm_grpc_mixed,destinit,f35702a,magneto,2,2330,790,0,drained_3x2s,cold,yes
sm_grpc_mixed,srcinit,f35702a,skippy,3,2490,860,0,drained_3x2s,cold,yes
sm_grpc_mixed,destinit,f35702a,magneto,3,2150,770,0,drained_3x2s,cold,yes
