block,run_id,cell,pair,role,phase,sample,q_before_ns,windows_ns,q_after_ns,rtt_ns,offset_windows_minus_q_ns
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,source_init,before,1,1784150319724454000,1784150315443355200,1784150320031347000,306893000,-4434545300
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,source_init,before,2,1784150320032095000,1784150315449779900,1784150320032581000,486000,-4582558100
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,source_init,before,3,1784150320032858000,1784150315450473400,1784150320033199000,341000,-4582555100
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,source_init,after,1,1784150321613850000,1784150317310865800,1784150321898082000,284232000,-4445100200
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,source_init,after,2,1784150321898820000,1784150317316510900,1784150321899405000,585000,-4582601600
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,source_init,after,3,1784150321899753000,1784150317317448200,1784150321900331000,578000,-4582593800
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,destination_init,before,1,1784150329295181000,1784150324998582900,1784150329586029000,290848000,-4442022100
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,destination_init,before,2,1784150329586808000,1784150325004469600,1784150329587282000,474000,-4582575400
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,destination_init,before,3,1784150329587537000,1784150325005146700,1784150329587906000,369000,-4582574800
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,destination_init,after,1,1784150331061267000,1784150326748597500,1784150331335658000,274391000,-4449865000
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,destination_init,after,2,1784150331336189000,1784150326753869700,1784150331336683000,494000,-4582566300
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,1,destination_init,after,3,1784150331336914000,1784150326754550500,1784150331337309000,395000,-4582561000
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,source_init,before,1,1784150337448707000,1784150333156586900,1784150337744743000,296036000,-4440138100
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,source_init,before,2,1784150337745532000,1784150333163166700,1784150337746007000,475000,-4582602800
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,source_init,before,3,1784150337746328000,1784150333163902000,1784150337746665000,337000,-4582594500
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,source_init,after,1,1784150338985191000,1784150334672869400,1784150339260011000,274820000,-4449731600
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,source_init,after,2,1784150339260615000,1784150334678258400,1784150339261019000,404000,-4582558600
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,source_init,after,3,1784150339261290000,1784150334678877500,1784150339261700000,410000,-4582617500
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,destination_init,before,1,1784150349082902000,1784150344784067400,1784150349371520000,288618000,-4443143600
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,destination_init,before,2,1784150349372090000,1784150344789708400,1784150349372566000,476000,-4582619600
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,destination_init,before,3,1784150349372826000,1784150344790413900,1784150349373193000,367000,-4582595600
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,destination_init,after,1,1784150350739237000,1784150346425123900,1784150351012219000,272982000,-4450604100
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,destination_init,after,2,1784150351012864000,1784150346430456400,1784150351013307000,443000,-4582629100
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,1,destination_init,after,3,1784150351013528000,1784150346431059700,1784150351013877000,349000,-4582642800
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,source_init,before,1,1784150360121922000,1784150355823677300,1784150360411644000,289722000,-4443105700
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,source_init,before,2,1784150360412489000,1784150355830099300,1784150360412970000,481000,-4582630200
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,source_init,before,3,1784150360413246000,1784150355830800200,1784150360413610000,364000,-4582627800
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,source_init,after,1,1784150362120127000,1784150357809400400,1784150362396628000,276501000,-4448977100
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,source_init,after,2,1784150362397421000,1784150357815064400,1784150362398056000,635000,-4582674100
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,source_init,after,3,1784150362398376000,1784150357815981000,1784150362398911000,535000,-4582662500
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,destination_init,before,1,1784150369781419000,1784150365483852800,1784150370071892000,290473000,-4442802700
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,destination_init,before,2,1784150370072661000,1784150365490253800,1784150370073150000,489000,-4582651700
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,destination_init,before,3,1784150370073424000,1784150365490949300,1784150370073765000,341000,-4582645200
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,destination_init,after,1,1784150371387708000,1784150367075820400,1784150371662924000,275216000,-4449495600
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,destination_init,after,2,1784150371663678000,1784150367081277700,1784150371664150000,472000,-4582636300
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,1,destination_init,after,3,1784150371664475000,1784150367082071000,1784150371664915000,440000,-4582624000
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,source_init,before,1,1784150378341825000,1784150374038746700,1784150378626554000,284729000,-4445442800
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,source_init,before,2,1784150378627316000,1784150374044900000,1784150378627807000,491000,-4582661500
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,source_init,before,3,1784150378628089000,1784150374045594200,1784150378628435000,346000,-4582667800
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,source_init,after,1,1784150380416740000,1784150376105876700,1784150380693161000,276421000,-4449073800
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,source_init,after,2,1784150380693856000,1784150376111384900,1784150380694228000,372000,-4582657100
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,source_init,after,3,1784150380694465000,1784150376111941900,1784150380694769000,304000,-4582675100
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,destination_init,before,1,1784150387824555000,1784150383528750700,1784150388116777000,292222000,-4441915300
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,destination_init,before,2,1784150388117537000,1784150383535087000,1784150388118021000,484000,-4582692000
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,destination_init,before,3,1784150388118313000,1784150383535792900,1784150388118664000,351000,-4582695600
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,destination_init,after,1,1784150389529223000,1784150385216259900,1784150389803319000,274096000,-4450011100
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,destination_init,after,2,1784150389804062000,1784150385221610000,1784150389804471000,409000,-4582656500
1,20260715T211759Z.30531-b1-off,wm_tcp_large,1,destination_init,after,3,1784150389804667000,1784150385222130300,1784150389804968000,301000,-4582687200
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,destination_init,before,1,1784150444273816000,1784150439975321200,1784150444563195000,289379000,-4443184300
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,destination_init,before,2,1784150444563912000,1784150439981386700,1784150444564418000,506000,-4582778300
