block,run_id,pass,cell,pair,role,role_order,before_sample,before_min_rtt_ns,before_offset_windows_minus_q_ns,after_sample,after_min_rtt_ns,after_offset_windows_minus_q_ns,selected_max_rtt_ns,selected_offset_change_ns
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_mixed,1,source_init,1,3,341000,-4582555100,3,578000,-4582593800,578000,-38700
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_mixed,1,destination_init,2,3,369000,-4582574800,3,395000,-4582561000,395000,13800
1,20260715T211759Z.30531-b1-off,forward,mw_tcp_mixed,1,source_init,1,3,337000,-4582594500,2,404000,-4582558600,404000,35900
1,20260715T211759Z.30531-b1-off,forward,mw_tcp_mixed,1,destination_init,2,3,367000,-4582595600,3,349000,-4582642800,367000,-47200
1,20260715T211759Z.30531-b1-off,forward,wm_grpc_mixed,1,source_init,1,3,364000,-4582627800,3,535000,-4582662500,535000,-34700
1,20260715T211759Z.30531-b1-off,forward,wm_grpc_mixed,1,destination_init,2,3,341000,-4582645200,3,440000,-4582624000,440000,21200
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_large,1,source_init,1,3,346000,-4582667800,3,304000,-4582675100,346000,-7300
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_large,1,destination_init,2,3,351000,-4582695600,3,301000,-4582687200,351000,8400
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_large,2,destination_init,1,3,326000,-4582771700,3,371000,-4582764200,371000,7500
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_large,2,source_init,2,3,332000,-4582810600,3,340000,-4582803200,340000,7400
1,20260715T211759Z.30531-b1-off,forward,wm_grpc_mixed,2,destination_init,1,3,316000,-4582810300,3,349000,-4582811800,349000,-1500
1,20260715T211759Z.30531-b1-off,forward,wm_grpc_mixed,2,source_init,2,3,381000,-4584222100,3,443000,-4586671600,443000,-2449500
1,20260715T211759Z.30531-b1-off,forward,mw_tcp_mixed,2,destination_init,1,3,528000,-4592756200,3,330000,-4593925500,528000,-1169300
1,20260715T211759Z.30531-b1-off,forward,mw_tcp_mixed,2,source_init,2,3,351000,-4598714400,3,391000,-4599128200,391000,-413800
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_mixed,2,destination_init,1,3,394000,-4601201800,3,724000,-4601458800,724000,-257000
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_mixed,2,source_init,2,3,428000,-4602203200,3,639000,-4602435700,639000,-232500
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_large,3,destination_init,1,3,345000,-4603831000,3,388000,-4603834600,388000,-3600
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_large,3,source_init,2,3,457000,-4603945200,3,346000,-4603932500,457000,12700
1,20260715T211759Z.30531-b1-off,forward,wm_grpc_mixed,3,destination_init,1,3,359000,-4603997100,3,480000,-4604016100,480000,-19000
1,20260715T211759Z.30531-b1-off,forward,wm_grpc_mixed,3,source_init,2,3,319000,-4604082400,3,604000,-4604129300,604000,-46900
1,20260715T211759Z.30531-b1-off,forward,mw_tcp_mixed,3,destination_init,1,3,344000,-4604166700,3,370000,-4604189500,370000,-22800
1,20260715T211759Z.30531-b1-off,forward,mw_tcp_mixed,3,source_init,2,3,350000,-4604276400,3,296000,-4604275600,350000,800
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_mixed,3,destination_init,1,3,386000,-4604364000,3,557000,-4604407500,557000,-43500
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_mixed,3,source_init,2,3,347000,-4604415700,3,577000,-4604487000,577000,-71300
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_mixed,4,source_init,1,3,354000,-4604552000,3,410000,-4604548200,410000,3800
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_mixed,4,destination_init,2,3,434000,-4604602300,3,367000,-4604643500,434000,-41200
1,20260715T211759Z.30531-b1-off,forward,mw_tcp_mixed,4,source_init,1,3,347000,-4604702700,3,410000,-4604746200,410000,-43500
1,20260715T211759Z.30531-b1-off,forward,mw_tcp_mixed,4,destination_init,2,3,384000,-4604806000,3,370000,-4604800500,384000,5500
1,20260715T211759Z.30531-b1-off,forward,wm_grpc_mixed,4,source_init,1,3,307000,-4604911000,3,563000,-4604959200,563000,-48200
1,20260715T211759Z.30531-b1-off,forward,wm_grpc_mixed,4,destination_init,2,3,437000,-4604986700,3,374000,-4604962100,437000,24600
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_large,4,source_init,1,3,354000,-4605023900,3,332000,-4605050300,354000,-26400
1,20260715T211759Z.30531-b1-off,forward,wm_tcp_large,4,destination_init,2,3,358000,-4605097700,3,298000,-4605098500,358000,-800
