block,trace_state,pass,cell,pair,role,run_id,session_id,endpoint_role,initiator_role,interval_kind,interval_name,correlation,start_event,end_event,start_producer_seq,end_producer_seq,start_elapsed_ns,end_elapsed_ns,duration_ns
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_dial_begin->socket_dial_end,,socket_dial_begin,socket_dial_end,0,1,131300,678400,547100
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_dial_end->socket_trace_attached,,socket_dial_end,socket_trace_attached,1,2,678400,681300,2900
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_trace_attached->manifest_complete_send_begin,,socket_trace_attached,manifest_complete_send_begin,2,3,681300,901200,219900
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,manifest_complete_send_begin->manifest_complete_sent,,manifest_complete_send_begin,manifest_complete_sent,3,4,901200,907200,6000
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,manifest_complete_sent->need_batch_received,,manifest_complete_sent,need_batch_received,4,5,907200,1864000,956800
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,need_batch_received->resize_proposed,,need_batch_received,resize_proposed,5,6,1864000,1876300,12300
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_proposed->resize_send_begin,,resize_proposed,resize_send_begin,6,7,1876300,1877600,1300
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_send_begin->resize_sent,,resize_send_begin,resize_sent,7,8,1877600,1879100,1500
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_sent->planner_begin,,resize_sent,planner_begin,8,9,1879100,1879300,200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,planner_begin->planner_end,,planner_begin,planner_end,9,10,1879300,1896000,16700
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,planner_end->first_payload_queued,,planner_end,first_payload_queued,10,11,1896000,1898200,2200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,first_payload_queued->socket_write_begin,,first_payload_queued,socket_write_begin,11,12,1898200,1975400,77200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_write_begin->first_socket_write,,socket_write_begin,first_socket_write,12,13,1975400,1983600,8200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,first_socket_write->resize_ack_received,,first_socket_write,resize_ack_received,13,14,1983600,2071500,87900
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_ack_received->socket_dial_begin,,resize_ack_received,socket_dial_begin,14,15,2071500,2080300,8800
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_dial_begin->socket_dial_end,,socket_dial_begin,socket_dial_end,15,16,2080300,2440400,360100
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_dial_end->socket_trace_attached,,socket_dial_end,socket_trace_attached,16,17,2440400,2441700,1300
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_trace_attached->source_settled,,socket_trace_attached,source_settled,17,18,2441700,2443900,2200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,source_settled->resize_proposed,,source_settled,resize_proposed,18,19,2443900,2444800,900
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_proposed->resize_send_begin,,resize_proposed,resize_send_begin,19,20,2444800,2445000,200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_send_begin->resize_sent,,resize_send_begin,resize_sent,20,21,2445000,2446500,1500
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_sent->resize_ack_received,,resize_sent,resize_ack_received,21,22,2446500,2803100,356600
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_ack_received->socket_dial_begin,,resize_ack_received,socket_dial_begin,22,23,2803100,2809300,6200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_dial_begin->socket_dial_end,,socket_dial_begin,socket_dial_end,23,24,2809300,3189500,380200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_dial_end->socket_trace_attached,,socket_dial_end,socket_trace_attached,24,25,3189500,3191200,1700
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,socket_trace_attached->source_settled,,socket_trace_attached,source_settled,25,26,3191200,3193400,2200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,source_settled->resize_proposed,,source_settled,resize_proposed,26,27,3193400,3194600,1200
2,on,reverse,wm_tcp_large,1,source_init,20260715T211759Z.30531-b2-on,e4cd0283c7f410c9,SOURCE,SOURCE,adjacent_local_timeline,resize_proposed->resize_send_begin,,resize_proposed,resize_send_begin,27,28,3194600,3194800,200
