cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
wm_tcp_large,mac_init,f35702a,mac,1,1270,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,1,909,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,2,927,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,2,905,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,3,910,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,3,905,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,4,908,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,4,907,0,0,drained_8s,yes
wm_tcp_large,mac_init,f35702a,mac,5,912,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,5,924,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,6,908,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,6,908,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,7,909,0,0,drained_6s,yes
wm_tcp_large,win_init,f35702a,win,7,904,0,0,drained_6s,yes
wm_tcp_large,mac_init,f35702a,mac,8,907,0,0,drained_8s,yes
wm_tcp_large,win_init,f35702a,win,8,910,0,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,1,1772,657,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,1,1652,658,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,2,1761,661,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,2,1647,656,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,3,1598,652,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,3,1662,655,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,4,1730,675,0,drained_6s,yes
mw_tcp_mixed,win_init,f35702a,win,4,1615,659,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,5,1598,658,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,5,1622,648,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,6,1646,670,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,6,1573,659,0,drained_8s,yes
mw_tcp_mixed,mac_init,f35702a,mac,7,1624,641,0,drained_8s,yes
mw_tcp_mixed,win_init,f35702a,win,7,1598,656,0,drained_6s,yes
mw_tcp_mixed,mac_init,f35702a,mac,8,1809,643,0,drained_6s,yes
mw_tcp_mixed,win_init,f35702a,win,8,1562,650,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,1,1176,72,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,1,844,73,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,2,1095,73,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,2,719,72,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,3,1091,71,0,drained_6s,yes
wm_tcp_mixed,win_init,f35702a,win,3,796,74,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,4,1096,73,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,4,894,74,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,5,1089,72,0,drained_6s,yes
wm_tcp_mixed,win_init,f35702a,win,5,724,74,0,drained_6s,yes
wm_tcp_mixed,mac_init,f35702a,mac,6,1145,64,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,6,783,64,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,7,1082,62,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,7,723,73,0,drained_8s,yes
wm_tcp_mixed,mac_init,f35702a,mac,8,1085,73,0,drained_8s,yes
wm_tcp_mixed,win_init,f35702a,win,8,841,71,0,drained_6s,yes
wm_grpc_mixed,mac_init,f35702a,mac,1,1205,76,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,1,1278,72,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,2,1193,66,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,2,1237,70,0,drained_6s,yes
wm_grpc_mixed,mac_init,f35702a,mac,3,1268,64,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,3,1200,63,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,4,1262,65,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,4,1196,62,0,drained_6s,yes
wm_grpc_mixed,mac_init,f35702a,mac,5,1276,66,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,5,1280,72,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,6,1194,72,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,6,1223,71,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,7,1246,74,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,7,1217,71,0,drained_8s,yes
wm_grpc_mixed,mac_init,f35702a,mac,8,1290,74,0,drained_8s,yes
wm_grpc_mixed,win_init,f35702a,win,8,1292,72,0,drained_6s,yes
