comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
mw_tcp_mixed,invariance,mac_init,win_init,1688,1618,1.043,1.10,PASS
mw_tcp_mixed,converge,mac_init,old_session,1688,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,mac_init,old_committed,1688,2288,0.738,1.10,PASS
mw_tcp_mixed,converge,win_init,old_session,1618,,,1.10,NO-SAME-SESSION-REF
mw_tcp_mixed,converge,win_init,old_committed,1618,2288,0.707,1.10,PASS
mw_tcp_mixed,cross,worst_arm,min_old_committed,1688,1284,1.315,1.10,FAIL
wm_grpc_mixed,invariance,mac_init,win_init,1254,1230,1.020,1.10,PASS
wm_grpc_mixed,converge,mac_init,old_session,1254,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,mac_init,old_committed,1254,1408,0.891,1.10,PASS
wm_grpc_mixed,converge,win_init,old_session,1230,,,1.10,NO-SAME-SESSION-REF
wm_grpc_mixed,converge,win_init,old_committed,1230,1408,0.874,1.10,PASS
wm_grpc_mixed,cross,worst_arm,min_old_committed,1254,1408,0.891,1.10,PASS
wm_tcp_large,invariance,mac_init,win_init,909,907,1.002,1.10,PASS
wm_tcp_large,converge,mac_init,old_session,909,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,mac_init,old_committed,909,1294,0.702,1.10,PASS
wm_tcp_large,converge,win_init,old_session,907,,,1.10,NO-SAME-SESSION-REF
wm_tcp_large,converge,win_init,old_committed,907,1294,0.701,1.10,PASS
wm_tcp_large,cross,worst_arm,min_old_committed,909,1294,0.702,1.10,PASS
wm_tcp_mixed,invariance,mac_init,win_init,1093,789,1.385,1.10,FAIL
wm_tcp_mixed,converge,mac_init,old_session,1093,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,mac_init,old_committed,1093,1284,0.851,1.10,PASS
wm_tcp_mixed,converge,win_init,old_session,789,,,1.10,NO-SAME-SESSION-REF
wm_tcp_mixed,converge,win_init,old_committed,789,1284,0.614,1.10,PASS
wm_tcp_mixed,cross,worst_arm,min_old_committed,1093,1284,0.851,1.10,PASS
