cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
push_tcp_large,old,0f922de,mac,1,1935,921,0,drained_8s,yes
push_tcp_large,new,e21cf84,mac,1,1926,911,0,drained_6s,yes
push_tcp_large,old,0f922de,mac,2,1908,907,0,drained_8s,yes
push_tcp_large,new,e21cf84,mac,2,1914,911,0,drained_6s,yes
push_tcp_large,old,0f922de,mac,3,1909,914,0,drained_6s,yes
push_tcp_large,new,e21cf84,mac,3,1894,882,0,drained_8s,yes
push_tcp_large,old,0f922de,mac,4,1903,897,0,drained_6s,yes
push_tcp_large,new,e21cf84,mac,4,1893,893,0,drained_8s,yes
pull_tcp_large,old,0f922de,mac,1,958,0,0,drained_8s,yes
pull_tcp_large,new,e21cf84,mac,1,974,0,0,drained_8s,yes
pull_tcp_large,old,0f922de,mac,2,974,0,0,drained_8s,yes
pull_tcp_large,new,e21cf84,mac,2,955,0,0,drained_6s,yes
pull_tcp_large,old,0f922de,mac,3,956,0,0,drained_8s,yes
pull_tcp_large,new,e21cf84,mac,3,962,0,0,drained_8s,yes
pull_tcp_large,old,0f922de,mac,4,971,0,0,drained_8s,yes
pull_tcp_large,new,e21cf84,mac,4,957,0,0,drained_6s,yes
push_grpc_large,old,0f922de,mac,1,1917,902,0,drained_6s,yes
push_grpc_large,new,e21cf84,mac,1,1933,910,0,drained_8s,yes
push_grpc_large,old,0f922de,mac,2,1930,907,0,drained_8s,yes
push_grpc_large,new,e21cf84,mac,2,1913,909,0,drained_8s,yes
push_grpc_large,old,0f922de,mac,3,1903,898,0,drained_6s,yes
push_grpc_large,new,e21cf84,mac,3,1920,892,0,drained_8s,yes
push_grpc_large,old,0f922de,mac,4,1909,887,0,drained_8s,yes
push_grpc_large,new,e21cf84,mac,4,1919,909,0,drained_8s,yes
pull_grpc_large,old,0f922de,mac,1,970,0,0,drained_6s,yes
pull_grpc_large,new,e21cf84,mac,1,973,0,0,drained_6s,yes
pull_grpc_large,old,0f922de,mac,2,980,0,0,drained_8s,yes
pull_grpc_large,new,e21cf84,mac,2,965,0,0,drained_8s,yes
pull_grpc_large,old,0f922de,mac,3,977,0,0,drained_8s,yes
pull_grpc_large,new,e21cf84,mac,3,967,0,0,drained_8s,yes
pull_grpc_large,old,0f922de,mac,4,989,0,0,drained_8s,yes
pull_grpc_large,new,e21cf84,mac,4,963,0,0,drained_6s,yes
push_tcp_small,old,0f922de,mac,1,1849,806,0,drained_8s,yes
push_tcp_small,new,e21cf84,mac,1,2070,799,0,drained_8s,yes
push_tcp_small,old,0f922de,mac,2,1824,812,0,drained_6s,yes
push_tcp_small,new,e21cf84,mac,2,2109,796,0,drained_8s,yes
push_tcp_small,old,0f922de,mac,3,1798,795,0,drained_8s,yes
push_tcp_small,new,e21cf84,mac,3,2090,802,0,drained_8s,yes
push_tcp_small,old,0f922de,mac,4,1796,806,0,drained_6s,yes
push_tcp_small,new,e21cf84,mac,4,2031,814,0,drained_8s,yes
pull_tcp_small,old,0f922de,mac,1,1482,172,0,drained_8s,yes
pull_tcp_small,new,e21cf84,mac,1,1223,167,0,drained_8s,yes
pull_tcp_small,old,0f922de,mac,2,1272,169,0,drained_8s,yes
pull_tcp_small,new,e21cf84,mac,2,1238,169,0,drained_8s,yes
pull_tcp_small,old,0f922de,mac,3,1234,170,0,drained_6s,yes
pull_tcp_small,new,e21cf84,mac,3,1370,164,0,drained_8s,yes
pull_tcp_small,old,0f922de,mac,4,1448,171,0,drained_6s,yes
pull_tcp_small,new,e21cf84,mac,4,1236,170,0,drained_8s,yes
push_grpc_small,old,0f922de,mac,1,2750,799,0,drained_8s,yes
push_grpc_small,new,e21cf84,mac,1,2348,803,0,drained_8s,yes
push_grpc_small,old,0f922de,mac,2,2951,790,0,drained_6s,yes
push_grpc_small,new,e21cf84,mac,2,2367,788,0,drained_6s,yes
push_grpc_small,old,0f922de,mac,3,2934,794,0,drained_8s,yes
push_grpc_small,new,e21cf84,mac,3,2188,788,0,drained_6s,yes
push_grpc_small,old,0f922de,mac,4,2972,813,0,drained_8s,yes
push_grpc_small,new,e21cf84,mac,4,2400,799,0,drained_8s,yes
pull_grpc_small,old,0f922de,mac,1,1622,174,0,drained_8s,yes
pull_grpc_small,new,e21cf84,mac,1,1309,173,0,drained_8s,yes
pull_grpc_small,old,0f922de,mac,2,1531,169,0,drained_6s,yes
pull_grpc_small,new,e21cf84,mac,2,1298,176,0,drained_6s,yes
pull_grpc_small,old,0f922de,mac,3,1520,170,0,drained_6s,yes
pull_grpc_small,new,e21cf84,mac,3,1291,177,0,drained_8s,yes
pull_grpc_small,old,0f922de,mac,4,1504,170,0,drained_6s,yes
pull_grpc_small,new,e21cf84,mac,4,1270,173,0,drained_6s,yes
push_tcp_mixed,old,0f922de,mac,1,1789,845,0,drained_6s,yes
push_tcp_mixed,new,e21cf84,mac,1,1766,824,0,drained_6s,yes
push_tcp_mixed,old,0f922de,mac,2,1635,845,0,drained_6s,yes
