cell,arm,median_ms,avg_ms,best_ms,spread_pct,voided_runs,pairs_attempted
mw_grpc_large,mac_init,1911,1914,1910,0.9,0,4
mw_grpc_large,win_init,1931,1933,1924,1.1,0,4
mw_grpc_mixed,mac_init,1829,1839,1810,4.4,0,4
mw_grpc_mixed,win_init,1842,1845,1834,1.6,0,4
mw_grpc_small,mac_init,2261,2248,2094,13.5,0,4
mw_grpc_small,win_init,2227,2221,2096,11.4,0,4
mw_tcp_large,mac_init,1914,1930,1897,5.2,0,4
mw_tcp_large,win_init,1920,1923,1918,0.8,0,4
mw_tcp_mixed,mac_init,1587,1589,1463,17.4,0,4
mw_tcp_mixed,win_init,1502,1584,1486,24.2,0,4
mw_tcp_small,mac_init,1922,1913,1884,2.2,0,4
mw_tcp_small,win_init,1935,1947,1917,4.5,0,4
pull_grpc_large,new,966,967,963,1.0,0,4
pull_grpc_large,old,978,979,970,2.0,0,4
pull_grpc_mixed,new,1244,1243,1217,4.4,0,4
pull_grpc_mixed,old,1408,4576,1274,1015.6,0,4
pull_grpc_small,new,1294,1292,1270,3.1,0,4
pull_grpc_small,old,1525,1544,1504,7.8,0,4
pull_tcp_large,new,959,962,955,2.0,0,4
pull_tcp_large,old,964,964,956,1.9,0,4
pull_tcp_mixed,new,1138,1147,1127,5.2,0,4
pull_tcp_mixed,old,867,875,855,6.7,0,4
pull_tcp_small,new,1237,1266,1223,12.0,0,4
pull_tcp_small,old,1360,1359,1234,20.1,0,4
push_grpc_large,new,1919,1921,1913,1.0,0,4
push_grpc_large,old,1913,1914,1903,1.4,0,4
push_grpc_mixed,new,2081,2108,1967,17.2,0,4
push_grpc_mixed,old,2177,2174,2142,2.8,0,4
push_grpc_small,new,2357,2325,2188,9.7,0,4
push_grpc_small,old,2942,2901,2750,8.1,0,4
push_tcp_large,new,1904,1906,1893,1.7,0,4
push_tcp_large,old,1908,1913,1903,1.7,0,4
push_tcp_mixed,new,1776,1830,1709,20.5,0,4
push_tcp_mixed,old,1687,1699,1635,9.4,0,4
push_tcp_small,new,2080,2075,2031,3.8,0,4
push_tcp_small,old,1811,1816,1796,3.0,0,4
wm_grpc_large,mac_init,964,963,960,0.6,0,4
wm_grpc_large,win_init,993,992,985,1.4,0,4
wm_grpc_mixed,mac_init,1246,1243,1208,5.3,0,4
wm_grpc_mixed,win_init,1262,1264,1240,4.4,0,4
wm_grpc_small,mac_init,1375,1379,1333,7.7,0,4
wm_grpc_small,win_init,1326,1321,1302,2.1,0,4
wm_tcp_large,mac_init,962,961,956,0.8,0,4
wm_tcp_large,win_init,984,1594,961,258.7,0,4
wm_tcp_mixed,mac_init,1127,1147,1122,8.2,0,4
wm_tcp_mixed,win_init,911,911,897,3.3,0,4
wm_tcp_small,mac_init,1253,1272,1216,12.5,0,4
wm_tcp_small,win_init,1267,1274,1233,7.9,0,4
