comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
pull_grpc_large,converge,new,old_session,966,978,0.988,1.10,PASS
pull_grpc_large,converge,new,old_committed,966,1289,0.749,1.10,PASS
pull_grpc_large,converge,new,combined,966,,,1.10,PASS
pull_grpc_mixed,converge,new,old_session,1244,1408,0.884,1.10,PASS
pull_grpc_mixed,converge,new,old_committed,1244,1408,0.884,1.10,PASS
pull_grpc_mixed,converge,new,combined,1244,,,1.10,PASS
pull_grpc_small,converge,new,old_session,1294,1525,0.849,1.10,PASS
pull_grpc_small,converge,new,old_committed,1294,1462,0.885,1.10,PASS
pull_grpc_small,converge,new,combined,1294,,,1.10,PASS
pull_tcp_large,converge,new,old_session,959,964,0.995,1.10,PASS
pull_tcp_large,converge,new,old_committed,959,1294,0.741,1.10,PASS
pull_tcp_large,converge,new,combined,959,,,1.10,PASS
pull_tcp_mixed,converge,new,old_session,1138,867,1.313,1.10,FAIL
pull_tcp_mixed,converge,new,old_committed,1138,1284,0.886,1.10,PASS
pull_tcp_mixed,converge,new,combined,1138,,,1.10,FAIL-SAME-SESSION
pull_tcp_small,converge,new,old_session,1237,1360,0.910,1.10,PASS
pull_tcp_small,converge,new,old_committed,1237,1280,0.966,1.10,PASS
pull_tcp_small,converge,new,combined,1237,,,1.10,PASS
push_grpc_large,converge,new,old_session,1919,1913,1.003,1.10,PASS
push_grpc_large,converge,new,old_committed,1919,3065,0.626,1.10,PASS
push_grpc_large,converge,new,combined,1919,,,1.10,PASS
push_grpc_mixed,converge,new,old_session,2081,2177,0.956,1.10,PASS
push_grpc_mixed,converge,new,old_committed,2081,2687,0.774,1.10,PASS
push_grpc_mixed,converge,new,combined,2081,,,1.10,PASS
push_grpc_small,converge,new,old_session,2357,2942,0.801,1.10,PASS
push_grpc_small,converge,new,old_committed,2357,2822,0.835,1.10,PASS
push_grpc_small,converge,new,combined,2357,,,1.10,PASS
push_tcp_large,converge,new,old_session,1904,1908,0.998,1.10,PASS
push_tcp_large,converge,new,old_committed,1904,3054,0.623,1.10,PASS
push_tcp_large,converge,new,combined,1904,,,1.10,PASS
push_tcp_mixed,converge,new,old_session,1776,1687,1.053,1.10,PASS
push_tcp_mixed,converge,new,old_committed,1776,2288,0.776,1.10,PASS
push_tcp_mixed,converge,new,combined,1776,,,1.10,PASS
push_tcp_small,converge,new,old_session,2080,1811,1.149,1.10,FAIL
push_tcp_small,converge,new,old_committed,2080,1868,1.113,1.10,FAIL
push_tcp_small,converge,new,combined,2080,,,1.10,FAIL-BOTH
mw_grpc_large,invariance,mac_init,win_init,1911,1931,1.010,1.10,PASS
mw_grpc_large,converge,mac_init,old_session,1911,1913,0.999,1.10,PASS
mw_grpc_large,converge,mac_init,old_committed,1911,3065,0.623,1.10,PASS
mw_grpc_large,converge,win_init,old_session,1931,1913,1.009,1.10,PASS
mw_grpc_large,converge,win_init,old_committed,1931,3065,0.630,1.10,PASS
mw_grpc_large,cross,worst_arm,min_old_committed,1931,1289,1.498,1.10,FAIL
mw_grpc_mixed,invariance,mac_init,win_init,1829,1842,1.007,1.10,PASS
mw_grpc_mixed,converge,mac_init,old_session,1829,2177,0.840,1.10,PASS
mw_grpc_mixed,converge,mac_init,old_committed,1829,2687,0.681,1.10,PASS
mw_grpc_mixed,converge,win_init,old_session,1842,2177,0.846,1.10,PASS
mw_grpc_mixed,converge,win_init,old_committed,1842,2687,0.686,1.10,PASS
mw_grpc_mixed,cross,worst_arm,min_old_committed,1842,1408,1.308,1.10,FAIL
mw_grpc_small,invariance,mac_init,win_init,2261,2227,1.015,1.10,PASS
mw_grpc_small,converge,mac_init,old_session,2261,2942,0.769,1.10,PASS
mw_grpc_small,converge,mac_init,old_committed,2261,2822,0.801,1.10,PASS
mw_grpc_small,converge,win_init,old_session,2227,2942,0.757,1.10,PASS
mw_grpc_small,converge,win_init,old_committed,2227,2822,0.789,1.10,PASS
mw_grpc_small,cross,worst_arm,min_old_committed,2261,1462,1.547,1.10,FAIL
mw_tcp_large,invariance,mac_init,win_init,1914,1920,1.003,1.10,PASS
mw_tcp_large,converge,mac_init,old_session,1914,1908,1.003,1.10,PASS
mw_tcp_large,converge,mac_init,old_committed,1914,3054,0.627,1.10,PASS
mw_tcp_large,converge,win_init,old_session,1920,1908,1.006,1.10,PASS
mw_tcp_large,converge,win_init,old_committed,1920,3054,0.629,1.10,PASS
mw_tcp_large,cross,worst_arm,min_old_committed,1920,1294,1.484,1.10,FAIL
mw_tcp_mixed,invariance,mac_init,win_init,1587,1502,1.057,1.10,PASS
mw_tcp_mixed,converge,mac_init,old_session,1587,1687,0.941,1.10,PASS
mw_tcp_mixed,converge,mac_init,old_committed,1587,2288,0.694,1.10,PASS
mw_tcp_mixed,converge,win_init,old_session,1502,1687,0.890,1.10,PASS
mw_tcp_mixed,converge,win_init,old_committed,1502,2288,0.656,1.10,PASS
mw_tcp_mixed,cross,worst_arm,min_old_committed,1587,1284,1.236,1.10,FAIL
mw_tcp_small,invariance,mac_init,win_init,1922,1935,1.007,1.10,PASS
mw_tcp_small,converge,mac_init,old_session,1922,1811,1.061,1.10,PASS
mw_tcp_small,converge,mac_init,old_committed,1922,1868,1.029,1.10,PASS
mw_tcp_small,converge,win_init,old_session,1935,1811,1.068,1.10,PASS
mw_tcp_small,converge,win_init,old_committed,1935,1868,1.036,1.10,PASS
mw_tcp_small,cross,worst_arm,min_old_committed,1935,1280,1.512,1.10,FAIL
wm_grpc_large,invariance,mac_init,win_init,964,993,1.030,1.10,PASS
wm_grpc_large,converge,mac_init,old_session,964,978,0.986,1.10,PASS
wm_grpc_large,converge,mac_init,old_committed,964,1289,0.748,1.10,PASS
wm_grpc_large,converge,win_init,old_session,993,978,1.015,1.10,PASS
wm_grpc_large,converge,win_init,old_committed,993,1289,0.770,1.10,PASS
wm_grpc_large,cross,worst_arm,min_old_committed,993,1289,0.770,1.10,PASS
wm_grpc_mixed,invariance,mac_init,win_init,1246,1262,1.013,1.10,PASS
wm_grpc_mixed,converge,mac_init,old_session,1246,1408,0.885,1.10,PASS
wm_grpc_mixed,converge,mac_init,old_committed,1246,1408,0.885,1.10,PASS
wm_grpc_mixed,converge,win_init,old_session,1262,1408,0.896,1.10,PASS
wm_grpc_mixed,converge,win_init,old_committed,1262,1408,0.896,1.10,PASS
wm_grpc_mixed,cross,worst_arm,min_old_committed,1262,1408,0.896,1.10,PASS
wm_grpc_small,invariance,mac_init,win_init,1375,1326,1.037,1.10,PASS
wm_grpc_small,converge,mac_init,old_session,1375,1525,0.902,1.10,PASS
wm_grpc_small,converge,mac_init,old_committed,1375,1462,0.940,1.10,PASS
wm_grpc_small,converge,win_init,old_session,1326,1525,0.870,1.10,PASS
wm_grpc_small,converge,win_init,old_committed,1326,1462,0.907,1.10,PASS
wm_grpc_small,cross,worst_arm,min_old_committed,1375,1462,0.940,1.10,PASS
wm_tcp_large,invariance,mac_init,win_init,962,984,1.023,1.10,PASS
wm_tcp_large,converge,mac_init,old_session,962,964,0.998,1.10,PASS
wm_tcp_large,converge,mac_init,old_committed,962,1294,0.743,1.10,PASS
