cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
push_tcp_large,old,e757dcc,mac,1,2665,410,0,drained_4x2s,yes
push_tcp_large,new,6bc9cb6,mac,1,2646,380,0,drained_13x2s,yes
push_tcp_large,old,e757dcc,mac,2,2244,440,0,drained_15x2s,yes
push_tcp_large,new,6bc9cb6,mac,2,2471,370,0,drained_13x2s,yes
push_tcp_large,old,e757dcc,mac,3,2785,420,0,drained_13x2s,yes
push_tcp_large,new,6bc9cb6,mac,3,2582,350,0,drained_15x2s,yes
push_tcp_large,old,e757dcc,mac,4,2466,400,0,drained_13x2s,yes
push_tcp_large,new,6bc9cb6,mac,4,2199,400,0,drained_15x2s,yes
push_tcp_large,old,e757dcc,mac,5,2256,400,0,drained_22x2s,yes
push_tcp_large,new,6bc9cb6,mac,5,2659,400,0,drained_15x2s,yes
push_tcp_large,old,e757dcc,mac,6,2488,350,0,drained_18x2s,yes
push_tcp_large,new,6bc9cb6,mac,6,2458,360,0,drained_9x2s,yes
push_tcp_large,old,e757dcc,mac,7,2653,370,0,drained_29x2s,yes
push_tcp_large,new,6bc9cb6,mac,7,2451,410,0,drained_22x2s,yes
push_tcp_large,old,e757dcc,mac,8,3604,1230,0,drained_26x2s,yes
push_tcp_large,new,6bc9cb6,mac,8,2371,370,0,drained_23x2s,yes
pull_tcp_large,old,e757dcc,mac,1,2314,0,0,drained_32x2s,yes
pull_tcp_large,new,6bc9cb6,mac,1,2200,0,0,drained_3x2s,yes
pull_tcp_large,old,e757dcc,mac,2,1989,0,0,drained_3x2s,yes
pull_tcp_large,new,6bc9cb6,mac,2,2135,0,0,drained_3x2s,yes
pull_tcp_large,old,e757dcc,mac,3,2220,0,0,drained_6x2s,yes
pull_tcp_large,new,6bc9cb6,mac,3,2349,0,0,drained_10x2s,yes
pull_tcp_large,old,e757dcc,mac,4,1809,0,0,drained_3x2s,yes
pull_tcp_large,new,6bc9cb6,mac,4,2041,0,0,drained_4x2s,yes
pull_tcp_large,old,e757dcc,mac,5,2134,0,0,drained_6x2s,yes
pull_tcp_large,new,6bc9cb6,mac,5,4390,0,0,drained_3x2s,yes
pull_tcp_large,old,e757dcc,mac,6,2262,0,0,drained_5x2s,yes
pull_tcp_large,new,6bc9cb6,mac,6,2035,0,0,drained_6x2s,yes
pull_tcp_large,old,e757dcc,mac,7,1914,0,0,drained_3x2s,yes
pull_tcp_large,new,6bc9cb6,mac,7,2502,0,0,drained_14x2s,yes
pull_tcp_large,old,e757dcc,mac,8,2246,0,0,drained_4x2s,yes
pull_tcp_large,new,6bc9cb6,mac,8,1885,0,0,drained_4x2s,yes
push_tcp_small,old,e757dcc,mac,1,3493,1990,0,drained_5x2s,yes
push_tcp_small,new,6bc9cb6,mac,1,3857,2330,0,drained_20x2s,yes
push_tcp_small,old,e757dcc,mac,2,3570,2130,0,drained_22x2s,yes
push_tcp_small,new,6bc9cb6,mac,2,3907,2270,0,drained_7x2s,yes
push_tcp_small,old,e757dcc,mac,3,3577,2110,0,drained_21x2s,yes
push_tcp_small,new,6bc9cb6,mac,3,4061,2070,0,drained_26x2s,yes
push_tcp_small,old,e757dcc,mac,4,3693,2050,0,drained_27x2s,yes
push_tcp_small,new,6bc9cb6,mac,4,4117,2210,0,drained_19x2s,yes
push_tcp_small,old,e757dcc,mac,5,4140,2120,0,drained_23x2s,yes
push_tcp_small,new,6bc9cb6,mac,5,3853,1990,0,drained_28x2s,yes
push_tcp_small,old,e757dcc,mac,6,3887,2330,0,drained_21x2s,yes
push_tcp_small,new,6bc9cb6,mac,6,3864,1980,0,drained_21x2s,yes
push_tcp_small,old,e757dcc,mac,7,3633,2030,0,drained_11x2s,yes
push_tcp_small,new,6bc9cb6,mac,7,4348,2160,0,drained_25x2s,yes
push_tcp_small,old,e757dcc,mac,8,3487,2020,0,drained_24x2s,yes
push_tcp_small,new,6bc9cb6,mac,8,4495,2470,0,drained_22x2s,yes
