cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
push_tcp_large,old,e757dcc,mac,1,2607,370,0,drained_4x2s,yes
push_tcp_large,new,042c06f,mac,1,2675,370,0,drained_19x2s,yes
push_tcp_large,old,e757dcc,mac,2,2203,350,0,drained_13x2s,yes
push_tcp_large,new,042c06f,mac,2,5197,1640,0,drained_23x2s,yes
push_tcp_large,old,e757dcc,mac,3,2769,370,0,drained_16x2s,yes
push_tcp_large,new,042c06f,mac,3,4398,2420,0,drained_15x2s,yes
push_tcp_large,old,e757dcc,mac,4,2229,420,0,drained_18x2s,yes
push_tcp_large,new,042c06f,mac,4,2597,410,0,drained_15x2s,yes
push_grpc_large,old,e757dcc,mac,1,4098,400,0,drained_18x2s,yes
push_grpc_large,new,042c06f,mac,1,4606,430,0,drained_15x2s,yes
push_grpc_large,old,e757dcc,mac,2,4515,390,0,drained_14x2s,yes
push_grpc_large,new,042c06f,mac,2,5005,400,0,drained_14x2s,yes
push_grpc_large,old,e757dcc,mac,3,4223,430,0,drained_17x2s,yes
push_grpc_large,new,042c06f,mac,3,4529,390,0,drained_18x2s,yes
push_grpc_large,old,e757dcc,mac,4,4813,380,0,drained_16x2s,yes
push_grpc_large,new,042c06f,mac,4,4400,420,0,drained_12x2s,yes
pull_tcp_large,old,e757dcc,mac,1,2208,0,0,drained_19x2s,yes
pull_tcp_large,new,042c06f,mac,1,2330,0,0,drained_5x2s,yes
pull_tcp_large,old,e757dcc,mac,2,1984,0,0,drained_4x2s,yes
pull_tcp_large,new,042c06f,mac,2,1874,0,0,drained_4x2s,yes
pull_tcp_large,old,e757dcc,mac,3,2133,0,0,drained_5x2s,yes
pull_tcp_large,new,042c06f,mac,3,1753,0,0,drained_4x2s,yes
pull_tcp_large,old,e757dcc,mac,4,2054,0,0,drained_4x2s,yes
pull_tcp_large,new,042c06f,mac,4,2042,0,0,drained_5x2s,yes
pull_grpc_large,old,e757dcc,mac,1,2705,0,0,drained_5x2s,yes
pull_grpc_large,new,042c06f,mac,1,2702,0,0,drained_5x2s,yes
pull_grpc_large,old,e757dcc,mac,2,2856,0,0,drained_6x2s,yes
pull_grpc_large,new,042c06f,mac,2,2703,0,0,drained_5x2s,yes
pull_grpc_large,old,e757dcc,mac,3,2617,0,0,drained_3x2s,yes
pull_grpc_large,new,042c06f,mac,3,2685,0,0,drained_4x2s,yes
pull_grpc_large,old,e757dcc,mac,4,2708,0,0,drained_5x2s,yes
pull_grpc_large,new,042c06f,mac,4,2892,0,0,drained_4x2s,yes
push_tcp_small,old,e757dcc,mac,1,12580,11000,0,drained_3x2s,yes
push_tcp_small,new,042c06f,mac,1,4171,2110,0,drained_23x2s,yes
push_tcp_small,old,e757dcc,mac,2,3657,2140,0,drained_20x2s,yes
push_tcp_small,new,042c06f,mac,2,3896,2260,0,drained_22x2s,yes
push_tcp_small,old,e757dcc,mac,3,3500,2170,0,drained_15x2s,yes
push_tcp_small,new,042c06f,mac,3,3814,2200,0,drained_17x2s,yes
push_tcp_small,old,e757dcc,mac,4,3615,2140,0,drained_4x2s,yes
push_tcp_small,new,042c06f,mac,4,4206,2430,0,drained_16x2s,yes
push_grpc_small,old,e757dcc,mac,1,4714,2170,0,drained_3x2s,yes
push_grpc_small,new,042c06f,mac,1,4536,2020,0,drained_3x2s,yes
push_grpc_small,old,e757dcc,mac,2,4567,2010,0,drained_3x2s,yes
push_grpc_small,new,042c06f,mac,2,4713,1990,0,drained_3x2s,yes
push_grpc_small,old,e757dcc,mac,3,4980,2360,0,drained_3x2s,yes
push_grpc_small,new,042c06f,mac,3,5257,2610,0,drained_4x2s,yes
push_grpc_small,old,e757dcc,mac,4,4740,2310,0,drained_49x2s,yes
push_grpc_small,new,042c06f,mac,4,4750,2140,0,drained_13x2s,yes
pull_tcp_small,old,e757dcc,mac,1,12744,174,0,drained_14x2s,yes
pull_tcp_small,new,042c06f,mac,1,2556,155,0,drained_4x2s,yes
pull_tcp_small,old,e757dcc,mac,2,2111,178,0,drained_5x2s,yes
pull_tcp_small,new,042c06f,mac,2,2477,172,0,drained_5x2s,yes
pull_tcp_small,old,e757dcc,mac,3,2193,161,0,drained_4x2s,yes
pull_tcp_small,new,042c06f,mac,3,2078,181,0,drained_4x2s,yes
pull_tcp_small,old,e757dcc,mac,4,2340,179,0,drained_4x2s,yes
pull_tcp_small,new,042c06f,mac,4,1772,181,0,drained_4x2s,yes
pull_grpc_small,old,e757dcc,mac,1,3445,144,0,drained_4x2s,yes
pull_grpc_small,new,042c06f,mac,1,3057,158,0,drained_5x2s,yes
pull_grpc_small,old,e757dcc,mac,2,3510,207,0,drained_4x2s,yes
pull_grpc_small,new,042c06f,mac,2,3157,176,0,drained_4x2s,yes
pull_grpc_small,old,e757dcc,mac,3,3408,171,0,drained_3x2s,yes
pull_grpc_small,new,042c06f,mac,3,12220,3223,0,drained_4x2s,yes
pull_grpc_small,old,e757dcc,mac,4,3481,165,0,drained_4x2s,yes
pull_grpc_small,new,042c06f,mac,4,3140,186,0,drained_4x2s,yes
push_tcp_mixed,old,e757dcc,mac,1,1874,420,0,drained_3x2s,yes
push_tcp_mixed,new,042c06f,mac,1,2149,200,0,drained_10x2s,yes
push_tcp_mixed,old,e757dcc,mac,2,1933,330,0,drained_13x2s,yes
push_tcp_mixed,new,042c06f,mac,2,1870,170,0,drained_12x2s,yes
push_tcp_mixed,old,e757dcc,mac,3,2219,400,0,drained_10x2s,yes
push_tcp_mixed,new,042c06f,mac,3,2441,190,0,drained_10x2s,yes
push_tcp_mixed,old,e757dcc,mac,4,2173,200,0,drained_9x2s,yes
push_tcp_mixed,new,042c06f,mac,4,2135,200,0,drained_9x2s,yes
push_grpc_mixed,old,e757dcc,mac,1,3619,600,0,drained_9x2s,yes
push_grpc_mixed,new,042c06f,mac,1,3352,100,0,drained_10x2s,yes
push_grpc_mixed,old,e757dcc,mac,2,3413,410,0,drained_11x2s,yes
push_grpc_mixed,new,042c06f,mac,2,3555,180,0,drained_12x2s,yes
push_grpc_mixed,old,e757dcc,mac,3,3713,430,0,drained_9x2s,yes
push_grpc_mixed,new,042c06f,mac,3,3505,190,0,drained_11x2s,yes
push_grpc_mixed,old,e757dcc,mac,4,3929,980,0,drained_9x2s,yes
push_grpc_mixed,new,042c06f,mac,4,3431,210,0,drained_9x2s,yes
pull_tcp_mixed,old,e757dcc,mac,1,1815,73,0,drained_14x2s,yes
pull_tcp_mixed,new,042c06f,mac,1,1605,108,0,drained_4x2s,yes
pull_tcp_mixed,old,e757dcc,mac,2,1449,100,0,drained_5x2s,yes
