cell,arm,median_ms,avg_ms,best_ms,spread_pct,voided_runs,pairs_attempted
pull_grpc_large,new,2702,2745,2685,7.7,0,4
pull_grpc_large,old,2706,2721,2617,9.1,0,4
pull_grpc_mixed,new,2107,3600,1958,320.2,0,4
pull_grpc_mixed,old,2252,2277,2121,17.1,0,4
pull_grpc_small,new,3148,5393,3057,299.7,0,4
pull_grpc_small,old,3463,3461,3408,3.0,0,4
pull_tcp_large,new,1958,1999,1753,32.9,0,4
pull_tcp_large,old,2093,2094,1984,11.3,0,4
pull_tcp_mixed,new,1521,2276,1351,248.8,0,4
pull_tcp_mixed,old,1575,1603,1449,25.3,0,4
pull_tcp_small,new,2277,2220,1772,44.2,0,4
pull_tcp_small,old,2266,4847,2111,503.7,0,4
push_grpc_large,new,4567,4635,4400,13.8,0,4
push_grpc_large,old,4369,4412,4098,17.4,0,4
push_grpc_mixed,new,3468,3460,3352,6.1,0,4
push_grpc_mixed,old,3666,3668,3413,15.1,0,4
push_grpc_small,new,4731,4814,4536,15.9,0,4
push_grpc_small,old,4727,4750,4567,9.0,0,4
push_tcp_large,new,3536,3716,2597,100.1,0,4
push_tcp_large,old,2418,2452,2203,25.7,0,4
push_tcp_mixed,new,2142,2148,1870,30.5,0,4
push_tcp_mixed,old,2053,2049,1874,18.4,0,4
push_tcp_small,new,4033,4021,3814,10.3,0,4
push_tcp_small,old,3636,5838,3500,259.4,0,4
