comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
pull_grpc_large,converge,new,old_session,2702,2706,0.999,1.10,PASS
pull_grpc_large,converge,new,old_committed,2702,2585,1.045,1.10,PASS
pull_grpc_large,converge,new,combined,2702,,,1.10,PASS
pull_grpc_mixed,converge,new,old_session,2107,2252,0.936,1.10,PASS
pull_grpc_mixed,converge,new,old_committed,2107,2222,0.948,1.10,PASS
pull_grpc_mixed,converge,new,combined,2107,,,1.10,PASS
pull_grpc_small,converge,new,old_session,3148,3463,0.909,1.10,PASS
pull_grpc_small,converge,new,old_committed,3148,4188,0.752,1.10,PASS
pull_grpc_small,converge,new,combined,3148,,,1.10,PASS
pull_tcp_large,converge,new,old_session,1958,2093,0.935,1.10,PASS
pull_tcp_large,converge,new,old_committed,1958,1744,1.123,1.10,FAIL
pull_tcp_large,converge,new,combined,1958,,,1.10,FAIL-REFERENCE-DRIFT
pull_tcp_mixed,converge,new,old_session,1521,1575,0.966,1.10,PASS
pull_tcp_mixed,converge,new,old_committed,1521,1401,1.086,1.10,PASS
pull_tcp_mixed,converge,new,combined,1521,,,1.10,PASS
pull_tcp_small,converge,new,old_session,2277,2266,1.005,1.10,PASS
pull_tcp_small,converge,new,old_committed,2277,2784,0.818,1.10,PASS
pull_tcp_small,converge,new,combined,2277,,,1.10,PASS
push_grpc_large,converge,new,old_session,4567,4369,1.045,1.10,PASS
push_grpc_large,converge,new,old_committed,4567,4510,1.013,1.10,PASS
push_grpc_large,converge,new,combined,4567,,,1.10,PASS
push_grpc_mixed,converge,new,old_session,3468,3666,0.946,1.10,PASS
push_grpc_mixed,converge,new,old_committed,3468,3889,0.892,1.10,PASS
push_grpc_mixed,converge,new,combined,3468,,,1.10,PASS
push_grpc_small,converge,new,old_session,4731,4727,1.001,1.10,PASS
push_grpc_small,converge,new,old_committed,4731,5217,0.907,1.10,PASS
push_grpc_small,converge,new,combined,4731,,,1.10,PASS
push_tcp_large,converge,new,old_session,3536,2418,1.462,1.10,FAIL
push_tcp_large,converge,new,old_committed,3536,2702,1.309,1.10,FAIL
push_tcp_large,converge,new,combined,3536,,,1.10,FAIL-BOTH
push_tcp_mixed,converge,new,old_session,2142,2053,1.043,1.10,PASS
push_tcp_mixed,converge,new,old_committed,2142,2070,1.035,1.10,PASS
push_tcp_mixed,converge,new,combined,2142,,,1.10,PASS
push_tcp_small,converge,new,old_session,4033,3636,1.109,1.10,FAIL
push_tcp_small,converge,new,old_committed,4033,4263,0.946,1.10,PASS
push_tcp_small,converge,new,combined,4033,,,1.10,FAIL-SAME-SESSION
