cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
ws_tcp_large,delegated,a2dea3f,mac,1,4251,3160,0,drained_5x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,1,4440,3400,0,drained_4x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,2,4030,2950,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,2,4170,3130,0,drained_4x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,3,4518,3490,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,3,5430,4330,0,drained_4x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,4,3862,2870,0,drained_5x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,4,3690,2610,0,drained_4x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,5,3798,2770,0,drained_9x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,5,4240,3240,0,drained_4x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,6,4156,3100,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,6,4510,3530,0,drained_4x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,7,3632,2630,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,7,4300,3200,0,drained_5x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,8,4723,3710,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,8,6050,4980,0,drained_4x2s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,1,3042,648,0,drained_6s,yes
sw_tcp_mixed,direct,a2dea3f,win,1,2135,650,0,drained_6s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,2,1973,667,0,drained_6s,yes
sw_tcp_mixed,direct,a2dea3f,win,2,1866,648,0,drained_8s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,3,1951,668,0,drained_8s,yes
sw_tcp_mixed,direct,a2dea3f,win,3,2038,668,0,drained_6s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,4,2062,663,0,drained_8s,yes
sw_tcp_mixed,direct,a2dea3f,win,4,1898,660,0,drained_8s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,5,2046,673,0,drained_8s,yes
sw_tcp_mixed,direct,a2dea3f,win,5,2132,660,0,drained_8s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,6,1838,647,0,drained_6s,yes
sw_tcp_mixed,direct,a2dea3f,win,6,1623,659,0,drained_8s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,7,2167,682,0,drained_8s,yes
sw_tcp_mixed,direct,a2dea3f,win,7,2032,654,0,drained_8s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,8,2220,680,0,drained_6s,yes
sw_tcp_mixed,direct,a2dea3f,win,8,1938,664,0,drained_8s,yes
