cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
sw_tcp_large,delegated,a2dea3f,mac,1,2620,727,0,drained_6s,yes
sw_tcp_large,direct,a2dea3f,win,1,2042,735,0,drained_6s,yes
sw_tcp_large,delegated,a2dea3f,mac,2,1878,738,0,drained_8s,yes
sw_tcp_large,direct,a2dea3f,win,2,1862,735,0,drained_8s,yes
sw_tcp_large,delegated,a2dea3f,mac,3,1953,804,0,drained_8s,yes
sw_tcp_large,direct,a2dea3f,win,3,1891,740,0,drained_6s,yes
sw_tcp_large,delegated,a2dea3f,mac,4,1889,730,0,drained_8s,yes
sw_tcp_large,direct,a2dea3f,win,4,1891,723,0,drained_8s,yes
ws_tcp_large,delegated,a2dea3f,mac,1,3000,1990,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,1,4120,3040,0,drained_5x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,2,4662,3520,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,2,3870,2860,0,drained_4x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,3,4656,3670,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,3,4110,3010,0,drained_4x2s,yes
ws_tcp_large,delegated,a2dea3f,mac,4,4639,3540,0,drained_4x2s,yes
ws_tcp_large,direct,a2dea3f,skippy,4,4540,3570,0,drained_4x2s,yes
sw_tcp_small,delegated,a2dea3f,mac,1,3554,612,0,drained_8s,yes
sw_tcp_small,direct,a2dea3f,win,1,1711,626,0,drained_8s,yes
sw_tcp_small,delegated,a2dea3f,mac,2,1882,629,0,drained_8s,yes
sw_tcp_small,direct,a2dea3f,win,2,1867,629,0,drained_6s,yes
sw_tcp_small,delegated,a2dea3f,mac,3,1839,636,0,drained_8s,yes
sw_tcp_small,direct,a2dea3f,win,3,1781,644,0,drained_6s,yes
sw_tcp_small,delegated,a2dea3f,mac,4,1836,631,0,drained_8s,yes
sw_tcp_small,direct,a2dea3f,win,4,1818,646,0,drained_8s,yes
ws_tcp_small,delegated,a2dea3f,mac,1,2449,80,0,drained_3x2s,yes
ws_tcp_small,direct,a2dea3f,skippy,1,2050,550,0,drained_6x2s,yes
ws_tcp_small,delegated,a2dea3f,mac,2,2053,440,0,drained_4x2s,yes
ws_tcp_small,direct,a2dea3f,skippy,2,1940,240,0,drained_5x2s,yes
ws_tcp_small,delegated,a2dea3f,mac,3,1833,160,0,drained_6x2s,yes
ws_tcp_small,direct,a2dea3f,skippy,3,1830,180,0,drained_6x2s,yes
ws_tcp_small,delegated,a2dea3f,mac,4,1935,140,0,drained_6x2s,yes
ws_tcp_small,direct,a2dea3f,skippy,4,1810,170,0,drained_6x2s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,1,3788,650,0,drained_6s,yes
sw_tcp_mixed,direct,a2dea3f,win,1,1811,648,0,drained_8s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,2,2155,671,0,drained_6s,yes
sw_tcp_mixed,direct,a2dea3f,win,2,1965,664,0,drained_8s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,3,2153,663,0,drained_6s,yes
sw_tcp_mixed,direct,a2dea3f,win,3,1935,666,0,drained_6s,yes
sw_tcp_mixed,delegated,a2dea3f,mac,4,2037,664,0,drained_8s,yes
sw_tcp_mixed,direct,a2dea3f,win,4,1916,670,0,drained_6s,yes
ws_tcp_mixed,delegated,a2dea3f,mac,1,2443,820,0,drained_3x2s,yes
ws_tcp_mixed,direct,a2dea3f,skippy,1,1730,470,0,drained_4x2s,yes
ws_tcp_mixed,delegated,a2dea3f,mac,2,1669,450,0,drained_6x2s,yes
ws_tcp_mixed,direct,a2dea3f,skippy,2,2000,680,0,drained_6x2s,yes
ws_tcp_mixed,delegated,a2dea3f,mac,3,1757,420,0,drained_6x2s,yes
ws_tcp_mixed,direct,a2dea3f,skippy,3,1740,510,0,drained_6x2s,yes
ws_tcp_mixed,delegated,a2dea3f,mac,4,1708,400,0,drained_6x2s,yes
ws_tcp_mixed,direct,a2dea3f,skippy,4,1690,520,0,drained_4x2s,yes
sw_grpc_large,delegated,a2dea3f,mac,1,3100,723,0,drained_8s,yes
sw_grpc_large,direct,a2dea3f,win,1,3129,723,0,drained_8s,yes
sw_grpc_large,delegated,a2dea3f,mac,2,3153,726,0,drained_8s,yes
sw_grpc_large,direct,a2dea3f,win,2,3112,720,0,drained_6s,yes
sw_grpc_large,delegated,a2dea3f,mac,3,3166,719,0,drained_8s,yes
sw_grpc_large,direct,a2dea3f,win,3,3222,727,0,drained_6s,yes
sw_grpc_large,delegated,a2dea3f,mac,4,3244,731,0,drained_8s,yes
sw_grpc_large,direct,a2dea3f,win,4,2931,710,0,drained_6s,yes
