cell,arm,build,initiator,run,ms,flush_ms,exit,drain,valid
push_tcp_large,old,0f922de,mac,1,1702,732,0,drained_8s,yes
push_tcp_large,new,f35702a,mac,1,1694,726,0,drained_8s,yes
push_tcp_large,old,0f922de,mac,2,1714,740,0,drained_8s,yes
push_tcp_large,new,f35702a,mac,2,1769,813,0,drained_6s,yes
push_tcp_large,old,0f922de,mac,3,1689,731,0,drained_6s,yes
push_tcp_large,new,f35702a,mac,3,1702,735,0,drained_8s,yes
push_tcp_large,old,0f922de,mac,4,1713,737,0,drained_6s,yes
push_tcp_large,new,f35702a,mac,4,1699,740,0,drained_8s,yes
pull_tcp_large,old,0f922de,mac,1,959,0,0,drained_6s,yes
pull_tcp_large,new,f35702a,mac,1,967,0,0,drained_8s,yes
pull_tcp_large,old,0f922de,mac,2,968,0,0,drained_8s,yes
pull_tcp_large,new,f35702a,mac,2,956,0,0,drained_6s,yes
pull_tcp_large,old,0f922de,mac,3,961,0,0,drained_6s,yes
pull_tcp_large,new,f35702a,mac,3,966,0,0,drained_8s,yes
pull_tcp_large,old,0f922de,mac,4,968,0,0,drained_8s,yes
pull_tcp_large,new,f35702a,mac,4,956,0,0,drained_98s,yes
push_grpc_large,old,0f922de,mac,1,1685,718,0,drained_6s,yes
push_grpc_large,new,f35702a,mac,1,1704,728,0,drained_8s,yes
push_grpc_large,old,0f922de,mac,2,1708,733,0,drained_8s,yes
push_grpc_large,new,f35702a,mac,2,1697,734,0,drained_8s,yes
push_grpc_large,old,0f922de,mac,3,1688,726,0,drained_8s,yes
push_grpc_large,new,f35702a,mac,3,1711,735,0,drained_8s,yes
push_grpc_large,old,0f922de,mac,4,1704,727,0,drained_8s,yes
push_grpc_large,new,f35702a,mac,4,1686,725,0,drained_6s,yes
pull_grpc_large,old,0f922de,mac,1,976,0,0,drained_6s,yes
pull_grpc_large,new,f35702a,mac,1,978,0,0,drained_8s,yes
pull_grpc_large,old,0f922de,mac,2,977,0,0,drained_8s,yes
pull_grpc_large,new,f35702a,mac,2,979,0,0,drained_6s,yes
pull_grpc_large,old,0f922de,mac,3,971,0,0,drained_6s,yes
pull_grpc_large,new,f35702a,mac,3,1026,0,0,drained_8s,yes
pull_grpc_large,old,0f922de,mac,4,982,0,0,drained_8s,yes
pull_grpc_large,new,f35702a,mac,4,970,0,0,drained_6s,yes
push_tcp_small,old,0f922de,mac,1,1697,633,0,drained_6s,yes
push_tcp_small,new,f35702a,mac,1,1906,618,0,drained_6s,yes
push_tcp_small,old,0f922de,mac,2,1662,629,0,drained_8s,yes
push_tcp_small,new,f35702a,mac,2,2045,637,0,drained_8s,yes
push_tcp_small,old,0f922de,mac,3,1620,620,0,drained_8s,yes
push_tcp_small,new,f35702a,mac,3,2129,640,0,drained_8s,yes
push_tcp_small,old,0f922de,mac,4,1627,637,0,drained_8s,yes
push_tcp_small,new,f35702a,mac,4,1831,636,0,drained_8s,yes
pull_tcp_small,old,0f922de,mac,1,1538,158,0,drained_8s,yes
pull_tcp_small,new,f35702a,mac,1,1304,163,0,drained_8s,yes
pull_tcp_small,old,0f922de,mac,2,1430,165,0,drained_6s,yes
pull_tcp_small,new,f35702a,mac,2,1362,161,0,drained_8s,yes
pull_tcp_small,old,0f922de,mac,3,1372,168,0,drained_6s,yes
pull_tcp_small,new,f35702a,mac,3,1298,161,0,drained_6s,yes
pull_tcp_small,old,0f922de,mac,4,1530,159,0,drained_6s,yes
pull_tcp_small,new,f35702a,mac,4,1231,171,0,drained_8s,yes
push_grpc_small,old,0f922de,mac,1,2530,626,0,drained_6s,yes
push_grpc_small,new,f35702a,mac,1,2263,620,0,drained_8s,yes
push_grpc_small,old,0f922de,mac,2,2504,623,0,drained_6s,yes
