cell,arm,median_ms,avg_ms,best_ms,spread_pct,voided_runs,pairs_attempted
mw_grpc_large,mac_init,1701,1699,1690,0.9,0,4
mw_grpc_large,win_init,1750,1783,1741,8.6,0,4
mw_grpc_mixed,mac_init,1794,1801,1783,2.7,0,4
mw_grpc_mixed,win_init,1837,1839,1812,3.3,0,4
mw_grpc_small,mac_init,1964,1970,1961,1.7,0,4
mw_grpc_small,win_init,1981,1983,1952,3.5,0,4
mw_tcp_large,mac_init,1702,1701,1695,0.6,1,5
mw_tcp_large,win_init,1707,1713,1704,1.8,1,5
mw_tcp_mixed,mac_init,1415,1480,1402,20.5,0,4
mw_tcp_mixed,win_init,1477,1538,1450,20.8,0,4
mw_tcp_small,mac_init,1781,1792,1748,6.3,0,4
mw_tcp_small,win_init,1814,1818,1801,2.3,0,4
pull_grpc_large,new,978,988,970,5.8,0,4
pull_grpc_large,old,976,976,971,1.1,0,4
pull_grpc_mixed,new,1366,1365,1322,6.4,0,4
pull_grpc_mixed,old,1395,1396,1371,3.9,0,4
pull_grpc_small,new,1479,1477,1459,2.3,0,4
pull_grpc_small,old,1663,4783,1581,799.9,0,4
pull_tcp_large,new,961,961,956,1.2,0,4
pull_tcp_large,old,964,964,959,0.9,0,4
pull_tcp_mixed,new,1192,1210,1176,9.0,0,4
pull_tcp_mixed,old,956,963,948,4.5,0,4
pull_tcp_small,new,1301,1298,1231,10.6,0,4
pull_tcp_small,old,1480,1467,1372,12.1,0,4
push_grpc_large,new,1700,1699,1686,1.5,0,4
push_grpc_large,old,1696,1696,1685,1.4,0,4
push_grpc_mixed,new,2102,2103,2030,7.3,1,5
push_grpc_mixed,old,2106,2117,1811,35.1,1,5
push_grpc_small,new,2264,2264,2239,2.2,0,4
push_grpc_small,old,2656,2654,2504,11.8,0,4
push_tcp_large,new,1700,1716,1694,4.4,0,4
push_tcp_large,old,1707,1704,1689,1.5,0,4
push_tcp_mixed,new,1703,1668,1458,24.2,0,4
push_tcp_mixed,old,1491,1498,1459,6.4,0,4
push_tcp_small,new,1975,1977,1831,16.3,0,4
push_tcp_small,old,1644,1651,1620,4.8,0,4
wm_grpc_large,mac_init,965,968,962,2.0,0,4
wm_grpc_large,win_init,996,1000,988,3.1,0,4
wm_grpc_mixed,mac_init,1393,1381,1302,10.4,0,4
wm_grpc_mixed,win_init,1364,1379,1346,7.1,0,4
wm_grpc_small,mac_init,1503,1541,1475,14.0,0,4
wm_grpc_small,win_init,1521,1544,1497,9.3,0,4
wm_tcp_large,mac_init,960,960,956,1.2,0,4
wm_tcp_large,win_init,997,1017,991,9.3,0,4
wm_tcp_mixed,mac_init,1221,1225,1192,6.4,0,4
wm_tcp_mixed,win_init,939,948,920,8.4,0,4
wm_tcp_small,mac_init,1330,1363,1319,11.8,1,5
wm_tcp_small,win_init,1366,1374,1354,4.3,1,5
