comparison,kind,lhs,rhs,lhs_ms,rhs_ms,ratio,bar,outcome
pull_grpc_large,converge,new,old_session,978,976,1.002,1.10,PASS
pull_grpc_large,converge,new,old_committed,978,1289,0.759,1.10,PASS
pull_grpc_large,converge,new,combined,978,,,1.10,PASS
pull_grpc_mixed,converge,new,old_session,1366,1395,0.979,1.10,PASS
pull_grpc_mixed,converge,new,old_committed,1366,1408,0.970,1.10,PASS
pull_grpc_mixed,converge,new,combined,1366,,,1.10,PASS
pull_grpc_small,converge,new,old_session,1479,1663,0.889,1.10,PASS
pull_grpc_small,converge,new,old_committed,1479,1462,1.012,1.10,PASS
pull_grpc_small,converge,new,combined,1479,,,1.10,PASS
pull_tcp_large,converge,new,old_session,961,964,0.997,1.10,PASS
pull_tcp_large,converge,new,old_committed,961,1294,0.743,1.10,PASS
pull_tcp_large,converge,new,combined,961,,,1.10,PASS
pull_tcp_mixed,converge,new,old_session,1192,956,1.247,1.10,FAIL
pull_tcp_mixed,converge,new,old_committed,1192,1284,0.928,1.10,PASS
pull_tcp_mixed,converge,new,combined,1192,,,1.10,FAIL-SAME-SESSION
pull_tcp_small,converge,new,old_session,1301,1480,0.879,1.10,PASS
pull_tcp_small,converge,new,old_committed,1301,1280,1.016,1.10,PASS
pull_tcp_small,converge,new,combined,1301,,,1.10,PASS
push_grpc_large,converge,new,old_session,1700,1696,1.002,1.10,PASS
push_grpc_large,converge,new,old_committed,1700,3065,0.555,1.10,PASS
push_grpc_large,converge,new,combined,1700,,,1.10,PASS
push_grpc_mixed,converge,new,old_session,2102,2106,0.998,1.10,PASS
push_grpc_mixed,converge,new,old_committed,2102,2687,0.782,1.10,PASS
push_grpc_mixed,converge,new,combined,2102,,,1.10,PASS
push_grpc_small,converge,new,old_session,2264,2656,0.852,1.10,PASS
push_grpc_small,converge,new,old_committed,2264,2822,0.802,1.10,PASS
push_grpc_small,converge,new,combined,2264,,,1.10,PASS
push_tcp_large,converge,new,old_session,1700,1707,0.996,1.10,PASS
push_tcp_large,converge,new,old_committed,1700,3054,0.557,1.10,PASS
push_tcp_large,converge,new,combined,1700,,,1.10,PASS
push_tcp_mixed,converge,new,old_session,1703,1491,1.142,1.10,FAIL
push_tcp_mixed,converge,new,old_committed,1703,2288,0.744,1.10,PASS
push_tcp_mixed,converge,new,combined,1703,,,1.10,FAIL-SAME-SESSION
push_tcp_small,converge,new,old_session,1975,1644,1.201,1.10,FAIL
push_tcp_small,converge,new,old_committed,1975,1868,1.057,1.10,PASS
push_tcp_small,converge,new,combined,1975,,,1.10,FAIL-SAME-SESSION
mw_grpc_large,invariance,mac_init,win_init,1701,1750,1.029,1.10,PASS
mw_grpc_large,converge,mac_init,old_session,1701,1696,1.003,1.10,PASS
mw_grpc_large,converge,mac_init,old_committed,1701,3065,0.555,1.10,PASS
mw_grpc_large,converge,win_init,old_session,1750,1696,1.032,1.10,PASS
mw_grpc_large,converge,win_init,old_committed,1750,3065,0.571,1.10,PASS
mw_grpc_large,cross,worst_arm,min_old_committed,1750,1289,1.358,1.10,FAIL
mw_grpc_mixed,invariance,mac_init,win_init,1794,1837,1.024,1.10,PASS
mw_grpc_mixed,converge,mac_init,old_session,1794,2106,0.852,1.10,PASS
mw_grpc_mixed,converge,mac_init,old_committed,1794,2687,0.668,1.10,PASS
mw_grpc_mixed,converge,win_init,old_session,1837,2106,0.872,1.10,PASS
mw_grpc_mixed,converge,win_init,old_committed,1837,2687,0.684,1.10,PASS
mw_grpc_mixed,cross,worst_arm,min_old_committed,1837,1408,1.305,1.10,FAIL
mw_grpc_small,invariance,mac_init,win_init,1964,1981,1.009,1.10,PASS
mw_grpc_small,converge,mac_init,old_session,1964,2656,0.739,1.10,PASS
mw_grpc_small,converge,mac_init,old_committed,1964,2822,0.696,1.10,PASS
mw_grpc_small,converge,win_init,old_session,1981,2656,0.746,1.10,PASS
mw_grpc_small,converge,win_init,old_committed,1981,2822,0.702,1.10,PASS
mw_grpc_small,cross,worst_arm,min_old_committed,1981,1462,1.355,1.10,FAIL
mw_tcp_large,invariance,mac_init,win_init,1702,1707,1.003,1.10,PASS
mw_tcp_large,converge,mac_init,old_session,1702,1707,0.997,1.10,PASS
mw_tcp_large,converge,mac_init,old_committed,1702,3054,0.557,1.10,PASS
mw_tcp_large,converge,win_init,old_session,1707,1707,1.000,1.10,PASS
mw_tcp_large,converge,win_init,old_committed,1707,3054,0.559,1.10,PASS
mw_tcp_large,cross,worst_arm,min_old_committed,1707,1294,1.319,1.10,FAIL
mw_tcp_mixed,invariance,mac_init,win_init,1415,1477,1.044,1.10,PASS
mw_tcp_mixed,converge,mac_init,old_session,1415,1491,0.949,1.10,PASS
