push_tcp_large-r1: DRAIN-TIMEOUT
push_tcp_large-r2: drained 7x2s
push_tcp_large-r3: drained 19x2s
push_tcp_large-r4: drained 15x2s
push_grpc_large-r1: drained 25x2s
push_grpc_large-r2: drained 5x2s
push_grpc_large-r3: drained 3x2s
push_grpc_large-r4: drained 5x2s
pull_tcp_large-r1: drained 6x2s
pull_tcp_large-r2: drained 8x2s
pull_tcp_large-r3: drained 3x2s
pull_tcp_large-r4: drained 3x2s
pull_grpc_large-r1: drained 3x2s
pull_grpc_large-r2: drained 3x2s
pull_grpc_large-r3: drained 3x2s
pull_grpc_large-r4: drained 6x2s
push_tcp_small-r1: drained 6x2s
push_tcp_small-r2: drained 3x2s
push_tcp_small-r3: drained 7x2s
push_tcp_small-r4: drained 3x2s
push_grpc_small-r1: drained 3x2s
push_grpc_small-r2: drained 3x2s
push_grpc_small-r3: drained 3x2s
push_grpc_small-r4: drained 9x2s
pull_tcp_small-r1: drained 6x2s
pull_tcp_small-r2: drained 64x2s
pull_tcp_small-r3: drained 32x2s
pull_tcp_small-r4: drained 37x2s
pull_grpc_small-r1: drained 3x2s
pull_grpc_small-r2: drained 5x2s
pull_grpc_small-r3: drained 8x2s
pull_grpc_small-r4: drained 30x2s
push_tcp_mixed-r1: drained 43x2s
push_tcp_mixed-r2: drained 3x2s
push_tcp_mixed-r3: drained 26x2s
push_tcp_mixed-r4: drained 6x2s
push_grpc_mixed-r1: drained 3x2s
push_grpc_mixed-r2: drained 3x2s
push_grpc_mixed-r3: drained 31x2s
push_grpc_mixed-r4: drained 9x2s
pull_tcp_mixed-r1: drained 15x2s
pull_tcp_mixed-r2: drained 5x2s
pull_tcp_mixed-r3: drained 3x2s
pull_tcp_mixed-r4: drained 3x2s
pull_grpc_mixed-r1: drained 3x2s
pull_grpc_mixed-r2: drained 5x2s
pull_grpc_mixed-r3: drained 3x2s
pull_grpc_mixed-r4: drained 11x2s
