cell,run,ms
push_tcp_large,1,7812
push_tcp_large,2,9623
push_tcp_large,3,2525
push_grpc_large,1,5538
push_grpc_large,2,4852
push_grpc_large,3,5592
pull_tcp_large,1,1655
pull_tcp_large,2,1916
pull_tcp_large,3,1706
pull_grpc_large,1,3278
pull_grpc_large,2,2538
pull_grpc_large,3,2600
push_tcp_small,1,1469
push_tcp_small,2,2562
push_tcp_small,3,1620
push_grpc_small,1,2557
push_grpc_small,2,2894
push_grpc_small,3,2986
pull_tcp_small,1,2572
pull_tcp_small,2,2567
pull_tcp_small,3,2803
pull_grpc_small,1,3873
pull_grpc_small,2,3827
pull_grpc_small,3,3907
push_tcp_mixed,1,1446
push_tcp_mixed,2,6119
push_tcp_mixed,3,11577
push_grpc_mixed,1,3130
push_grpc_mixed,2,3138
push_grpc_mixed,3,6969
pull_tcp_mixed,1,2880
pull_tcp_mixed,2,2482
pull_tcp_mixed,3,4419
pull_grpc_mixed,1,3611
pull_grpc_mixed,2,2905
pull_grpc_mixed,3,2487
