cell,run,ms
push_tcp_large,1,2490
push_tcp_large,2,2570
push_tcp_large,3,3202
push_tcp_large,4,3528
push_grpc_large,1,4635
push_grpc_large,2,5054
push_grpc_large,3,4436
push_grpc_large,4,4695
pull_tcp_large,1,1824
pull_tcp_large,2,1618
pull_tcp_large,3,1705
pull_tcp_large,4,1709
pull_grpc_large,1,2744
pull_grpc_large,2,2918
pull_grpc_large,3,2695
pull_grpc_large,4,2887
push_tcp_small,1,3610
push_tcp_small,2,7328
push_tcp_small,3,4073
push_tcp_small,4,4024
push_grpc_small,1,5475
push_grpc_small,2,5086
push_grpc_small,3,6420
push_grpc_small,4,5326
pull_tcp_small,1,2622
pull_tcp_small,2,2591
pull_tcp_small,3,2513
pull_tcp_small,4,2486
pull_grpc_small,1,4112
pull_grpc_small,2,4057
pull_grpc_small,3,4204
pull_grpc_small,4,4054
push_tcp_mixed,1,3011
push_tcp_mixed,2,6055
push_tcp_mixed,3,2286
push_tcp_mixed,4,2111
push_grpc_mixed,1,3939
push_grpc_mixed,2,4163
push_grpc_mixed,3,3779
push_grpc_mixed,4,4734
pull_tcp_mixed,1,1369
pull_tcp_mixed,2,1429
pull_tcp_mixed,3,1737
pull_tcp_mixed,4,1592
pull_grpc_mixed,1,2287
pull_grpc_mixed,2,2224
pull_grpc_mixed,3,2133
pull_grpc_mixed,4,2440
