cell,run,ms
push_tcp_large,1,3283
push_tcp_large,2,2767
push_tcp_large,3,3442
push_tcp_large,4,2510
push_grpc_large,1,7760
push_grpc_large,2,5021
push_grpc_large,3,5401
push_grpc_large,4,4947
pull_tcp_large,1,1563
pull_tcp_large,2,1707
pull_tcp_large,3,2014
pull_tcp_large,4,1621
pull_grpc_large,1,2373
pull_grpc_large,2,2406
pull_grpc_large,3,2355
pull_grpc_large,4,2394
push_tcp_small,1,3919
push_tcp_small,2,3832
push_tcp_small,3,3940
push_tcp_small,4,4653
push_grpc_small,1,5344
push_grpc_small,2,5290
push_grpc_small,3,5150
push_grpc_small,4,5118
pull_tcp_small,1,2652
pull_tcp_small,2,2850
pull_tcp_small,3,2747
pull_tcp_small,4,2615
pull_grpc_small,1,4184
pull_grpc_small,2,4255
pull_grpc_small,3,4221
pull_grpc_small,4,4349
push_tcp_mixed,1,3111
push_tcp_mixed,2,3858
push_tcp_mixed,3,2221
push_tcp_mixed,4,2060
push_grpc_mixed,1,7400
push_grpc_mixed,2,3739
push_grpc_mixed,3,3854
push_grpc_mixed,4,3915
pull_tcp_mixed,1,1494
pull_tcp_mixed,2,1512
pull_tcp_mixed,3,1451
pull_tcp_mixed,4,1568
pull_grpc_mixed,1,2241
pull_grpc_mixed,2,2343
pull_grpc_mixed,3,2250
pull_grpc_mixed,4,2266
