cell,run,ms
push_tcp_large,1,3561
push_tcp_large,2,3538
push_tcp_large,3,3565
push_tcp_large,4,3533
push_grpc_large,1,3571
push_grpc_large,2,3553
push_grpc_large,3,3573
push_grpc_large,4,3548
pull_tcp_large,1,1308
pull_tcp_large,2,1315
pull_tcp_large,3,1306
pull_tcp_large,4,1311
pull_grpc_large,1,1313
pull_grpc_large,2,1320
pull_grpc_large,3,1308
pull_grpc_large,4,1319
push_tcp_small,1,2493
push_tcp_small,2,2513
push_tcp_small,3,2522
push_tcp_small,4,2492
push_grpc_small,1,3305
push_grpc_small,2,3323
push_grpc_small,3,3352
push_grpc_small,4,3338
pull_tcp_small,1,1512
pull_tcp_small,2,1351
pull_tcp_small,3,1395
pull_tcp_small,4,1367
pull_grpc_small,1,1492
pull_grpc_small,2,1486
pull_grpc_small,3,1514
pull_grpc_small,4,1497
push_tcp_mixed,1,2785
push_tcp_mixed,2,2840
push_tcp_mixed,3,2900
push_tcp_mixed,4,2849
push_grpc_mixed,1,3235
push_grpc_mixed,2,3346
push_grpc_mixed,3,3127
push_grpc_mixed,4,3248
pull_tcp_mixed,1,1382
pull_tcp_mixed,2,1306
pull_tcp_mixed,3,1295
pull_tcp_mixed,4,1327
pull_grpc_mixed,1,1430
pull_grpc_mixed,2,1482
pull_grpc_mixed,3,1412
pull_grpc_mixed,4,1446
