cell,run,ms
push_tcp_large,1,3058
push_tcp_large,2,3051
push_tcp_large,3,3041
push_tcp_large,4,3061
push_grpc_large,1,3082
push_grpc_large,2,3065
push_grpc_large,3,3058
push_grpc_large,4,3065
pull_tcp_large,1,1292
pull_tcp_large,2,1296
pull_tcp_large,3,1288
pull_tcp_large,4,1302
pull_grpc_large,1,1289
pull_grpc_large,2,1288
pull_grpc_large,3,1290
pull_grpc_large,4,1289
push_tcp_small,1,1900
push_tcp_small,2,1841
push_tcp_small,3,1864
push_tcp_small,4,1873
push_grpc_small,1,2810
push_grpc_small,2,2834
push_grpc_small,3,3018
push_grpc_small,4,2787
pull_tcp_small,1,1441
pull_tcp_small,2,1263
pull_tcp_small,3,1297
pull_tcp_small,4,1259
pull_grpc_small,1,1414
pull_grpc_small,2,1572
pull_grpc_small,3,1503
pull_grpc_small,4,1421
push_tcp_mixed,1,2266
push_tcp_mixed,2,2356
push_tcp_mixed,3,2276
push_tcp_mixed,4,2301
push_grpc_mixed,1,2774
push_grpc_mixed,2,2707
push_grpc_mixed,3,2551
push_grpc_mixed,4,2668
pull_tcp_mixed,1,1378
pull_tcp_mixed,2,1272
pull_tcp_mixed,3,1287
pull_tcp_mixed,4,1281
pull_grpc_mixed,1,1442
pull_grpc_mixed,2,1378
pull_grpc_mixed,3,1436
pull_grpc_mixed,4,1381
