% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 74.08  417.226819       10202     40896      3236 futex
  7.35   41.366220        1276     32399           epoll_wait
  7.08   39.881936          14   2714536   2714536 readlink
  2.70   15.230671          76    200142       110 openat
  2.03   11.404788          18    625147      1646 recvfrom
  1.39    7.851382          39    200082           close
  1.08    6.081776          58    104420           write
  1.03    5.803073          29    199910    100000 statx
  0.88    4.970728          30    162248           sched_yield
  0.83    4.664740          46    100000           utimensat
  0.80    4.520639          45    100000           chmod
  0.73    4.101346          41    100000     99899 mkdir
  0.01    0.051105          47      1068           writev
  0.00    0.010833          17       627           mprotect
  0.00    0.002431         110        22           poll
  0.00    0.001661          55        30           madvise
  0.00    0.001062          81        13           clone3
  0.00    0.000999           9       111           rt_sigprocmask
  0.00    0.000968          13        72           mmap
  0.00    0.000908          25        36           brk
  0.00    0.000604          15        38           sigaltstack
  0.00    0.000501          20        25           munmap
  0.00    0.000412           8        46           socket
  0.00    0.000408          58         7           mremap
  0.00    0.000371           6        55           read
  0.00    0.000367          10        35        21 connect
  0.00    0.000324          20        16           epoll_ctl
  0.00    0.000282          20        14           gettid
  0.00    0.000225          16        14           set_robust_list
  0.00    0.000224          13        17           sched_getaffinity
  0.00    0.000173          12        14           rseq
  0.00    0.000154          11        14           sendto
  0.00    0.000152           6        22           newfstatat
  0.00    0.000150           3        38           setsockopt
  0.00    0.000120          13         9           prctl
  0.00    0.000105          15         7           sendmmsg
  0.00    0.000092           5        18           lseek
  0.00    0.000092           7        12           getrandom
  0.00    0.000072           3        21         3 ioctl
  0.00    0.000069           4        14           recvmsg
  0.00    0.000056           8         7           getsockopt
  0.00    0.000042           3        14           getsockname
  0.00    0.000038           1        22           fstat
  0.00    0.000031           4         7           uname
  0.00    0.000026           3         7           bind
  0.00    0.000010           1         6           rt_sigaction
  0.00    0.000010          10         1           socketpair
  0.00    0.000006           1         4           fcntl
  0.00    0.000005           5         1           epoll_create1
  0.00    0.000005           2         2           faccessat2
  0.00    0.000004           2         2           prlimit64
  0.00    0.000003           3         1           eventfd2
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           shutdown
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00  563.179218         122   4582274   2919452 total
