% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 58.58 5354.210548        8768    610653    124923 futex
 22.55 2060.662521       10296    200124       104 openat
  8.06  736.765857         311   2367838           sched_yield
  2.55  232.921212          65   3552301   3552301 readlink
  2.48  226.859361       10675     21250           epoll_wait
  1.09   99.178528         496    199911    100000 statx
  1.07   98.138693         490    200030           close
  1.04   95.142684         951    100000           chmod
  0.73   66.673171         666    100000           utimensat
  0.72   65.579835         612    107001           write
  0.69   63.457651         634    100005     99901 mkdir
  0.44   40.386287          65    614348      1731 recvfrom
  0.00    0.075157          43      1744           mprotect
  0.00    0.071180          85       828           writev
  0.00    0.009568          40       236           mmap
  0.00    0.008470          39       217           rt_sigprocmask
  0.00    0.007454         106        70           clone3
  0.00    0.005156          34       148           sigaltstack
  0.00    0.004478          84        53           munmap
  0.00    0.003748          52        71           gettid
  0.00    0.003415          48        71           rseq
  0.00    0.002795          37        74           sched_getaffinity
  0.00    0.002677          37        71           set_robust_list
  0.00    0.002229          96        23           epoll_ctl
  0.00    0.001251          29        43           getrandom
  0.00    0.001227          32        38           prctl
  0.00    0.001226          28        43           setsockopt
  0.00    0.000834          49        17         8 accept4
  0.00    0.000508          15        32           read
  0.00    0.000279          69         4           mremap
  0.00    0.000201          28         7           madvise
  0.00    0.000179         179         1           rename
  0.00    0.000096          10         9           lseek
  0.00    0.000069          69         1           fsync
  0.00    0.000025           6         4           brk
  0.00    0.000024          12         2           socket
  0.00    0.000016           8         2           bind
  0.00    0.000011           5         2           getsockname
  0.00    0.000010           5         2           listen
------ ----------- ----------- --------- --------- ------------------
100.00 9140.178642        1117   8177302   3878969 total
