fixture,tool,slot,attempt,ms,flush_ms,exit,files,drain,valid
small,blit_ship,1,1,2217,149,0,10000,drained_8s,yes
small,blit_w8,1,1,1429,145,0,10000,drained_8s,yes
small,robo_mt1,1,1,1524,154,1,10000,drained_6s,yes
small,robo_mt8,1,1,711,163,1,10000,drained_8s,yes
small,blit_w8,2,2,1322,141,0,10000,drained_8s,yes
small,robo_mt1,2,2,1556,156,1,10000,drained_6s,yes
small,robo_mt8,2,2,671,166,1,10000,drained_8s,yes
small,blit_ship,2,2,1402,143,0,10000,drained_6s,yes
small,robo_mt1,3,3,1654,158,1,10000,drained_6s,yes
small,robo_mt8,3,3,726,164,1,10000,drained_6s,yes
small,blit_ship,3,3,1450,150,0,10000,drained_8s,yes
small,blit_w8,3,3,1319,143,0,10000,drained_8s,yes
small,robo_mt8,4,4,698,167,1,10000,drained_8s,yes
small,blit_ship,4,4,1403,149,0,10000,drained_8s,yes
small,blit_w8,4,4,1351,149,0,10000,drained_6s,yes
small,robo_mt1,4,4,1563,155,1,10000,drained_6s,yes
small,blit_ship,5,5,1384,142,0,10000,drained_6s,yes
small,blit_w8,5,5,1310,149,0,10000,drained_6s,yes
small,robo_mt1,5,5,1514,143,1,10000,drained_6s,yes
small,robo_mt8,5,5,696,159,1,10000,drained_6s,yes
small,blit_w8,6,6,1409,148,0,10000,drained_8s,yes
small,robo_mt1,6,6,1499,146,1,10000,drained_6s,yes
small,robo_mt8,6,6,677,163,1,10000,drained_8s,yes
small,blit_ship,6,6,1396,141,0,10000,drained_8s,yes
mixed,blit_ship,1,1,926,167,0,5001,drained_6s,yes
mixed,blit_w8,1,1,778,171,0,5001,drained_8s,yes
mixed,robo_mt1,1,1,1022,172,1,5001,drained_8s,yes
mixed,robo_mt8,1,1,555,236,1,5001,drained_8s,yes
mixed,blit_w8,2,2,792,160,0,5001,drained_8s,yes
mixed,robo_mt1,2,2,1017,162,1,5001,drained_8s,yes
mixed,robo_mt8,2,2,489,180,1,5001,drained_8s,yes
mixed,blit_ship,2,2,926,160,0,5001,drained_8s,yes
mixed,robo_mt1,3,3,1093,177,1,5001,drained_8s,yes
mixed,robo_mt8,3,3,485,170,1,5001,drained_8s,yes
mixed,blit_ship,3,3,965,167,0,5001,drained_6s,yes
mixed,blit_w8,3,3,806,169,0,5001,drained_8s,yes
mixed,robo_mt8,4,4,493,173,1,5001,drained_8s,yes
mixed,blit_ship,4,4,933,172,0,5001,drained_8s,yes
mixed,blit_w8,4,4,779,162,0,5001,drained_8s,yes
mixed,robo_mt1,4,4,1067,188,1,5001,drained_6s,yes
mixed,blit_ship,5,5,924,168,0,5001,drained_8s,yes
mixed,blit_w8,5,5,775,166,0,5001,drained_6s,yes
mixed,robo_mt1,5,5,1049,175,1,5001,drained_8s,yes
mixed,robo_mt8,5,5,476,173,1,5001,drained_8s,yes
mixed,blit_w8,6,6,789,172,0,5001,drained_6s,yes
mixed,robo_mt1,6,6,1054,168,1,5001,drained_8s,yes
mixed,robo_mt8,6,6,485,172,1,5001,drained_8s,yes
mixed,blit_ship,6,6,940,164,0,5001,drained_8s,yes
large,blit_ship,1,1,534,246,0,1,drained_8s,yes
large,blit_w8,1,1,537,249,0,1,drained_6s,yes
large,robo_mt1,1,1,535,248,1,1,drained_6s,yes
large,robo_mt8,1,1,543,251,1,1,drained_6s,yes
large,blit_w8,2,2,535,247,0,1,drained_6s,yes
large,robo_mt1,2,2,539,250,1,1,drained_8s,yes
large,robo_mt8,2,2,538,249,1,1,drained_6s,yes
large,blit_ship,2,2,540,251,0,1,drained_6s,yes
large,robo_mt1,3,3,538,247,1,1,drained_6s,yes
large,robo_mt8,3,3,542,250,1,1,drained_6s,yes
large,blit_ship,3,3,538,250,0,1,drained_8s,yes
large,blit_w8,3,3,540,250,0,1,drained_6s,yes
large,robo_mt8,4,4,535,246,1,1,drained_6s,yes
large,blit_ship,4,4,538,251,0,1,drained_6s,yes
large,blit_w8,4,4,541,252,0,1,drained_8s,yes
large,robo_mt1,4,4,543,252,1,1,drained_8s,yes
large,blit_ship,5,5,538,248,0,1,drained_8s,yes
large,blit_w8,5,5,538,250,0,1,drained_8s,yes
large,robo_mt1,5,5,535,245,1,1,drained_8s,yes
large,robo_mt8,5,5,600,311,1,1,drained_8s,yes
large,blit_w8,6,6,538,247,0,1,drained_8s,yes
large,robo_mt1,6,6,537,248,1,1,drained_8s,yes
large,robo_mt8,6,6,543,252,1,1,drained_6s,yes
large,blit_ship,6,6,541,250,0,1,drained_8s,yes
