fixture,tool,slot,attempt,ms,flush_ms,exit,files,drain,valid
large,blit,1,1,541,249,0,1,drained_6s,yes
large,robocopy,1,1,539,250,1,1,drained_6s,yes
large,blit,2,2,537,246,0,1,drained_6s,yes
large,robocopy,2,2,544,256,1,1,drained_6s,yes
large,blit,3,3,542,250,0,1,drained_8s,yes
large,robocopy,3,3,542,251,1,1,drained_6s,yes
large,blit,4,4,535,245,0,1,drained_6s,yes
large,robocopy,4,4,540,250,1,1,drained_6s,yes
large,blit,5,5,540,251,0,1,drained_6s,yes
large,robocopy,5,5,543,250,1,1,drained_8s,yes
large,blit,6,6,530,242,0,1,drained_6s,yes
large,robocopy,6,6,539,250,1,1,drained_8s,yes
large,blit,7,7,544,252,0,1,drained_8s,yes
large,robocopy,7,7,539,251,1,1,drained_6s,yes
large,blit,8,8,538,247,0,1,drained_6s,yes
large,robocopy,8,8,542,252,1,1,drained_6s,yes
small,blit,1,1,2175,147,0,10000,drained_8s,yes
small,robocopy,1,1,742,159,1,10000,drained_8s,yes
small,blit,2,2,1386,148,0,10000,drained_8s,yes
small,robocopy,2,2,672,166,1,10000,drained_8s,yes
small,blit,3,3,1386,147,0,10000,drained_6s,yes
small,robocopy,3,3,676,163,1,10000,drained_6s,yes
small,blit,4,4,1402,150,0,10000,drained_8s,yes
small,robocopy,4,4,731,157,1,10000,drained_8s,yes
small,blit,5,5,1390,148,0,10000,drained_6s,yes
small,robocopy,5,5,691,163,1,10000,drained_6s,yes
small,blit,6,6,1387,144,0,10000,drained_6s,yes
small,robocopy,6,6,695,162,1,10000,drained_8s,yes
small,blit,7,7,1430,147,0,10000,drained_8s,yes
small,robocopy,7,7,700,164,1,10000,drained_6s,yes
small,blit,8,8,1383,135,0,10000,drained_8s,yes
small,robocopy,8,8,743,231,1,10000,drained_8s,yes
mixed,blit,1,1,929,169,0,5001,drained_6s,yes
mixed,robocopy,1,1,504,176,1,5001,drained_8s,yes
mixed,blit,2,2,934,167,0,5001,drained_8s,yes
mixed,robocopy,2,2,479,177,1,5001,drained_8s,yes
mixed,blit,3,3,927,167,0,5001,drained_8s,yes
mixed,robocopy,3,3,475,176,1,5001,drained_6s,yes
mixed,blit,4,4,935,159,0,5001,drained_8s,yes
mixed,robocopy,4,4,496,174,1,5001,drained_8s,yes
mixed,blit,5,5,943,165,0,5001,drained_8s,yes
mixed,robocopy,5,5,499,175,1,5001,drained_8s,yes
mixed,blit,6,6,961,168,0,5001,drained_6s,yes
mixed,robocopy,6,6,505,177,1,5001,drained_8s,yes
mixed,blit,7,7,922,163,0,5001,drained_8s,yes
mixed,robocopy,7,7,525,172,1,5001,drained_8s,yes
mixed,blit,8,8,955,171,0,5001,drained_8s,yes
mixed,robocopy,8,8,531,177,1,5001,drained_6s,yes
